"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"St3gal1",761.029021220575,0.531699047210117,0.134614077455319,3.94980270459898,7.82156377805446e-05,0.900198981324399
"Tmem229b",600.187561711425,-0.28166395147211,0.0728800201127321,-3.86476226318855,0.000111197453069532,0.900198981324399
"Lta4h",617.829102192908,0.148929617591514,0.0416470244873392,3.57599659098788,0.000348896197152054,0.999980768131138
"Chrna1os",5.04697136441287,-1.8512442905963,0.521198154999753,-3.55190108183936,0.000382458611137518,0.999980768131138
"Gm17597",31.204844259755,0.884222217265771,0.255025745847689,3.46718804537429,0.000525933818618364,0.999980768131138
"Gm3363",4.80408963268569,1.760393023294,0.526228532576029,3.3453013554328,0.000821932122137326,0.999980768131138
"Acan",263.053614561648,-0.596157352701742,0.179559169449568,-3.32011645258351,0.000899799057654723,0.999980768131138
"Fkbp5",1718.55782398837,-0.270341182497866,0.0858472478637036,-3.14909550655691,0.00163776660955894,0.999980768131138
"4931408D14Rik",12.0466194231506,1.61531829205286,0.526142705070161,3.07011439384579,0.00213976797066954,0.999980768131138
"Inhbb",124.293502565396,0.381809008526736,0.124516492313168,3.06633283217181,0.00216701945350489,0.999980768131138
"Zfp951",62.164021919742,0.481103835354756,0.156900335044521,3.0663021542831,0.00216724182615963,0.999980768131138
"Klrg1",4.81649507577866,1.33715398033158,0.437313769071173,3.05765350853601,0.00223077350479825,0.999980768131138
"Rbm3",1371.53964282929,0.214635995637191,0.0703778997573872,3.04976415006845,0.00229021137279605,0.999980768131138
"Sh2b2",103.550664689867,-0.446447272790724,0.147674464393111,-3.02318531931342,0.00250129017206585,0.999980768131138
"Cxcl10",11.7561881996241,1.84585303237579,0.614445507403752,3.00409557907774,0.00266371629836126,0.999980768131138
"Srl",458.760140936076,-0.293375155958059,0.0991862861946633,-2.95781974720053,0.00309823237441156,0.999980768131138
"Trp73",197.619628654145,-0.463524915029025,0.157266104967634,-2.94739235211821,0.00320466308136526,0.999980768131138
"Stard5",334.994574821749,-0.255081299828896,0.0873671225204392,-2.91964863291934,0.00350426242604667,0.999980768131138
"Cacng5",432.464197194392,-0.531943046587128,0.182379125972756,-2.91668821061568,0.0035376921395472,0.999980768131138
"Cdh23",65.4713231483927,-0.769188615654143,0.264571279865824,-2.90730201722664,0.00364561032872317,0.999980768131138
"Snx20",12.0797071577925,0.751200329548106,0.263012358336516,2.85614080760026,0.00428824909818992,0.999980768131138
"Slc17a8",135.90416718136,-0.478399002433322,0.168989204818155,-2.83094415970602,0.00464108228584064,0.999980768131138
"Sbf1",6744.44689956983,-0.145824750757673,0.0516295956434362,-2.82444107764791,0.00473631558940826,0.999980768131138
"Arhgap25",55.3932629597242,-0.690452205993086,0.246165774546186,-2.80482616751234,0.00503437227082989,0.999980768131138
"Tmem181c-ps",41.2241585167653,-0.480394877636368,0.172080998236447,-2.79167881729907,0.00524353757031461,0.999980768131138
"Got1l1",18.8662281784208,-0.867018666055134,0.310695094901369,-2.79057725816486,0.00526141417718055,0.999980768131138
"Fyb2",107.371927105086,-0.580497850475864,0.208379655403361,-2.78577027758392,0.00534007011453006,0.999980768131138
"Avpr1b",29.2577298572602,-0.966778874926527,0.349269222965461,-2.76800476926686,0.00564006303069878,0.999980768131138
"Slc7a3",38.6870830177275,0.623441159427283,0.226547439325951,2.75192322315456,0.00592464092548544,0.999980768131138
"Cdhr3",107.36699565034,-0.586036323511402,0.213077684924455,-2.75034114303981,0.0059533249685241,0.999980768131138
"Cd52",20.6500713716932,0.793800324494832,0.290816365936443,2.72955864068639,0.00634191688057475,0.999980768131138
"Slc10a4",9.7205534472181,-0.847208458273063,0.310411167084137,-2.72931050203947,0.00634669138304757,0.999980768131138
"Dnajc21",828.457901710102,0.238816592364964,0.0875606763047002,2.72744115787676,0.00638276404111345,0.999980768131138
"Sult1a1",273.535844883836,-0.520760649938694,0.191383679328563,-2.72102956618711,0.00650789405715367,0.999980768131138
"9130019O22Rik",57.5648338557754,-0.350164485267608,0.128719123659227,-2.72037654789073,0.00652076151332862,0.999980768131138
"Fgf5",110.174101792156,-0.382543746743358,0.140809694996791,-2.71674295404217,0.00659277879270726,0.999980768131138
"Lrrc56",93.0713212038067,-0.398807454448923,0.147016820983146,-2.71266547448093,0.00667444480395486,0.999980768131138
"Sgk3",262.76188565218,-0.577675745839332,0.213503596282693,-2.70569562244961,0.00681614891117231,0.999980768131138
"Ndst1",3266.52362546131,-0.2107171394596,0.0778826996986265,-2.70557056027831,0.00681871605626611,0.999980768131138
"Ptpn5",3206.9407727287,-0.211577575662378,0.0790227607872706,-2.67742576384979,0.007419029129488,0.999980768131138
"Tmem52",78.0031934902133,-0.642343273631457,0.240944093254799,-2.6659432275527,0.00767726565270358,0.999980768131138
"Tcte1",35.7468695664924,-0.571946466568395,0.21505705649713,-2.65951034522798,0.00782543267366938,0.999980768131138
"Tmem151b",3785.20013166378,-0.229230600538207,0.086224121694019,-2.65854375822663,0.00784791586019357,0.999980768131138
"Chaf1a",175.045737121656,-0.229668965332831,0.0865391913026504,-2.6539301081474,0.00795603040794861,0.999980768131138
"Cdc25a",91.5830892079627,-0.380831782647771,0.143999663117787,-2.64467134437851,0.00817702954413027,0.999980768131138
"Ccl5",4.65189172827309,1.57199127293486,0.594499469978668,2.64422653394673,0.00818778380242135,0.999980768131138
"Prrx1",168.453264225351,0.282334186177151,0.10703315394305,2.63781992565943,0.00834408771929285,0.999980768131138
"Wdfy1",565.831528002882,-0.59442580837093,0.22562306644448,-2.63459679782875,0.00842372811934599,0.999980768131138
