"symbol","logFC","P.Value","chr","description"
"Fgf5",0.538080569070201,0.0476,"5","fibroblast growth factor 5"
"Comtd1",0.537345334249052,0.1016,"14","catechol-O-methyltransferase domain containing 1"
"St3gal1",-0.536339524548726,0.008,"15","ST3 beta-galactoside alpha-2,3-sialyltransferase 1"
"Ccr5",-0.534857758526122,0.6744,"9","chemokine (C-C motif) receptor 5"
"Col6a3",-0.532866491503893,0.2072,"1","collagen, type VI, alpha 3"
"Phldb2",-0.532261354015024,0.132,"16","pleckstrin homology like domain, family B, member 2"
"Shisa2",0.530181312793369,0.046,"14","shisa family member 2"
"Ntn1",-0.524765362606583,0.252,"11","netrin 1"
"Lgals3bp",-0.524377932493951,0.138,"11","lectin, galactoside-binding, soluble, 3 binding protein"
"Selenom",0.522230199196824,0.3612,"11","selenoprotein M"
"Lgals9",-0.520644099723208,0.084,"11","lectin, galactose binding, soluble 9"
"Neurod1",-0.520162551401693,0.068,"2","neurogenic differentiation 1"
"Nr4a2",-0.519894331681746,0.0424,"2","nuclear receptor subfamily 4, group A, member 2"
"Catspere2",-0.518662911927155,0.266,"1","cation channel sperm associated auxiliary subunit epsilon 2"
"Dpy19l4",-0.518537087371308,0.3976,"4","dpy-19-like 4 (C. elegans)"
"Kcne2",-0.515060361278336,0.6452,"16","potassium voltage-gated channel, Isk-related subfamily, gene 2"
"Atp5e",0.514070466666443,0.3464,"2","ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit"
"Ankrd35",0.513850080307187,0,"3","ankyrin repeat domain 35"
"Abca9",-0.513625906160493,0.6608,"11","ATP-binding cassette, sub-family A (ABC1), member 9"
"Cp",-0.512940480641662,0.1128,"3","ceruloplasmin"
"Col12a1",-0.512806918933964,0.298,"9","collagen, type XII, alpha 1"
"Pter",-0.509511149390572,0.06,"2","phosphotriesterase related"
"Mme",-0.50815807973115,0.408,"3","membrane metallo endopeptidase"
"Myh11",-0.506250677283756,0.1416,"16","myosin, heavy polypeptide 11, smooth muscle"
"Irf7",-0.50498291799211,0.388,"7","interferon regulatory factor 7"
"Hscb",0.503656555069031,0.05,"5","HscB iron-sulfur cluster co-chaperone"
"Entpd1",-0.501541032114039,0.2892,"19","ectonucleoside triphosphate diphosphohydrolase 1"
"Il13ra1",-0.501318632964564,0.1668,"X","interleukin 13 receptor, alpha 1"
"Rpl22l1",0.499436359080421,0.232,"3","ribosomal protein L22 like 1"
"Atp5j2",0.494932847221063,0.2772,"5","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2"
"Peg3",-0.492616276191561,0.5772,"7","paternally expressed 3"
"Ifi203",-0.492556885996341,0.0868,"1","interferon activated gene 203"
"Rps14",0.491706322912807,0.334,"18","ribosomal protein S14"
"Sgcd",-0.491517147150014,0.1868,"11","sarcoglycan, delta (dystrophin-associated glycoprotein)"
"Hpgd",-0.490837874752124,0.2624,"8","hydroxyprostaglandin dehydrogenase 15 (NAD)"
"Nudt22",0.489959506547777,0.0176,"19","nudix (nucleoside diphosphate linked moiety X)-type motif 22"
"Ncf1",-0.489795585757749,0.1684,"5","neutrophil cytosolic factor 1"
"Bok",0.489196908959245,0.2312,"1","BCL2-related ovarian killer"
"Gprin3",-0.488542983344425,0.558,"6","GPRIN family member 3"
"Cd74",-0.487054240040114,0.4328,"18","CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)"
"Cryzl2",0.485841581303183,0.1524,"1","crystallin zeta like 2"
"Fv1",-0.485514580818272,0.3696,"4","Friend virus susceptibility 1"
"Skap2",-0.484245310943854,0.0572,"6","src family associated phosphoprotein 2"
"Tekt1",0.483550706622403,0.1508,"11","tektin 1"
"Pnisr",-0.482445143819388,0.364,"4","PNN interacting serine/arginine-rich"
"Susd5",-0.480867317247678,0.1256,"9","sushi domain containing 5"
"Acta2",-0.480686671272109,0.1556,"19","actin alpha 2, smooth muscle, aorta"
"Cdkn1a",0.480625190121066,0.1316,"17","cyclin-dependent kinase inhibitor 1A (P21)"
"Znhit2",0.480478195989499,0.224,"19","zinc finger, HIT domain containing 2"
"Mpeg1",-0.47976809425709,0.5148,"19","macrophage expressed gene 1"
"Uqcc2",0.479294903743662,0.3296,"17","ubiquinol-cytochrome c reductase complex assembly factor 2"
"Plekhf1",0.479195076310196,0.036,"7","pleckstrin homology domain containing, family F (with FYVE domain) member 1"
"Itga10",-0.479012126587451,0.2024,"3","integrin, alpha 10"
"Slfn5",-0.478378703291078,0.1508,"11","schlafen 5"
"Tspan17",0.476449743200062,0.178,"13","tetraspanin 17"
"Aqp1",-0.476346716036589,0.5768,"6","aquaporin 1"
"Tmem114",0.474694474701339,0.0128,"16","transmembrane protein 114"
"St8sia4",-0.474179661546758,0.1428,"1","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4"
"Ndufaf8",0.473876095854397,0.0636,"11","NADH:ubiquinone oxidoreductase complex assembly factor 8"
"Dach1",-0.473818904587586,0.052,"14","dachshund family transcription factor 1"
"Ndufc1",0.472094409419813,0.2416,"3","NADH:ubiquinone oxidoreductase subunit C1"
"Xdh",0.470777864148067,0.5052,"17","xanthine dehydrogenase"
"Trpc6",-0.470147034725959,0.0188,"9","transient receptor potential cation channel, subfamily C, member 6"
"Wnt3",0.468018093954798,0.0288,"11","wingless-type MMTV integration site family, member 3"
"Zfp783",0.466374767484091,0.1032,"6","zinc finger protein 783"
"Zfp711",-0.466055785148355,0.052,"X","zinc finger protein 711"
"Ndn",0.465756028881165,0.0332,"7","necdin, MAGE family member"
"Adgrl2",-0.465427391748989,0.2964,"3","adhesion G protein-coupled receptor L2"
"Slc25a30",0.463973953919217,0.2244,"14","solute carrier family 25, member 30"
"Plekhd1",0.463524630109349,0.2584,"12","pleckstrin homology domain containing, family D (with coiled-coil domains) member 1"
"B3galt4",0.460828374041094,0.126,"17","UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4"
"Cpeb4",-0.460691673730266,0.3452,"11","cytoplasmic polyadenylation element binding protein 4"
"Abcc9",-0.460677880909658,0.5,"6","ATP-binding cassette, sub-family C (CFTR/MRP), member 9"
"Capn11",-0.460525045751359,0.6392,"17","calpain 11"
"Plin4",0.459363264727038,0.3112,"17","perilipin 4"
"Timm13",0.458689258486882,0.3644,"10","translocase of inner mitochondrial membrane 13"
"Cx3cr1",-0.458356896492819,0.7544,"9","chemokine (C-X3-C motif) receptor 1"
"Uqcrq",0.457424962500396,0.3112,"11","ubiquinol-cytochrome c reductase, complex III subunit VII"
"Zbtb20",-0.457417166732329,0.4668,"16","zinc finger and BTB domain containing 20"
"Cd33",-0.457349908500459,0.69,"7","CD33 antigen"
"Rpl37a",0.456110811754856,0.36,"1","ribosomal protein L37a"
"B3galt2",-0.455313026620153,0.4636,"1","UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2"
"Egfl6",-0.454894749574997,0.162,"X","EGF-like-domain, multiple 6"
"Arl4d",0.454876671547479,0,"11","ADP-ribosylation factor-like 4D"
"Kl",-0.453797576312043,0.3696,"5","klotho"
"Col6a2",-0.453390483510917,0.3628,"10","collagen, type VI, alpha 2"
"Klhl40",0.452991413575125,0.0512,"9","kelch-like 40"
"2310009B15Rik",0.45240495003513,0.2172,"1","RIKEN cDNA 2310009B15 gene"
"Prrx1",-0.451656073421888,0.0028,"1","paired related homeobox 1"
"Fyb2",0.450766719453859,0.3036,"4","FYN binding protein 2"
"Mapk15",0.450570171729435,0.3,"15","mitogen-activated protein kinase 15"
"Pbx3",-0.450304986765707,0.108,"2","pre B cell leukemia homeobox 3"
"Cobl",-0.450047021813078,0.1012,"11","cordon-bleu WH2 repeat"
"Ccdc13",0.446591508104039,0.0808,"9","coiled-coil domain containing 13"
