"symbol","logFC","P.Value","chr","description"
"Cd93",-0.366047784417086,0.066,"2","CD93 antigen"
"Nid1",-0.365436058324004,0.1716,"13","nidogen 1"
"Rbp1",-0.364451107322235,0.1238,"9","retinol binding protein 1, cellular"
"Coch",-0.364175211162296,0.3658,"12","cochlin"
"Col5a1",-0.364104886912647,0.0318,"2","collagen, type V, alpha 1"
"Slfn5",-0.362420158420642,0.0274,"11","schlafen 5"
"Col4a4",-0.361044303489107,0.37,"1","collagen, type IV, alpha 4"
"Lgals9",-0.360128341279426,0.0222,"11","lectin, galactose binding, soluble 9"
"Slc13a4",-0.358159685705842,0.4538,"6","solute carrier family 13 (sodium/sulfate symporters), member 4"
"Sulf1",-0.355567027221958,0.3878,"1","sulfatase 1"
"Cdh5",-0.354517203333741,0.0626,"8","cadherin 5"
"Kl",-0.352707007542491,0.1336,"5","klotho"
"Baiap2l1",-0.34982811341128,0.244,"5","BAI1-associated protein 2-like 1"
"Ccn3",-0.349683958996022,0.2092,"15","cellular communication network factor 3"
"Pld4",-0.344099127891314,0.0378,"12","phospholipase D family, member 4"
"St3gal1",-0.343448794534135,0.0056,"15","ST3 beta-galactoside alpha-2,3-sialyltransferase 1"
"Rab11fip1",-0.343337537503775,0.0688,"8","RAB11 family interacting protein 1 (class I)"
"Grem1",-0.341848466694196,0.5142,"2","gremlin 1, DAN family BMP antagonist"
"Sag",0.340246181703231,0.0236,"1","S-antigen, retina and pineal gland (arrestin)"
"Epn3",-0.337960660962726,0.3438,"11","epsin 3"
"Ccr5",-0.337865174809905,0.4842,"9","chemokine (C-C motif) receptor 5"
"Dock2",-0.337440367569143,0.2448,"11","dedicator of cyto-kinesis 2"
"Cp",-0.336918511332766,0.0376,"3","ceruloplasmin"
"Ifit3",-0.336645372341275,0.136,"19","interferon-induced protein with tetratricopeptide repeats 3"
"Gstm2",-0.33517213797208,0.285,"3","glutathione S-transferase, mu 2"
"Adgrl2",-0.334621779506487,0.2482,"3","adhesion G protein-coupled receptor L2"
"Xaf1",-0.334135907139616,0.0664,"11","XIAP associated factor 1"
"Erg",-0.332536417580532,0.059,"16","ETS transcription factor"
"Plk1",0.329671071234745,0.0916,"7","polo like kinase 1"
"Satb2",-0.327141530897488,0.1282,"1","special AT-rich sequence binding protein 2"
"Itgb2",-0.325615778321937,0.3768,"10","integrin beta 2"
"Gbp3",-0.323555555488424,0.0716,"3","guanylate binding protein 3"
"Col15a1",-0.323360676954011,0.0826,"4","collagen, type XV, alpha 1"
"Col8a2",-0.3221112847672,0.4284,"4","collagen, type VIII, alpha 2"
"Kcnmb4os2",0.321939640671836,0.014,"10","potassium large conductance calcium-activated channel, subfamily M, beta member 4, opposite strand 2"
"Angptl2",-0.321700310330103,0.4116,"2","angiopoietin-like 2"
"Slco2b1",-0.321063802340371,0.2688,"7","solute carrier organic anion transporter family, member 2b1"
"Usp18",-0.320818002989931,0.2878,"6","ubiquitin specific peptidase 18"
"Flt1",-0.318838536167176,0.1388,"5","FMS-like tyrosine kinase 1"
"Fzd6",-0.317810147985381,0.0406,"15","frizzled class receptor 6"
"Igtp",-0.317177939639937,0.1076,"11","interferon gamma induced GTPase"
"Pon3",-0.315416443137166,0.2062,"6","paraoxonase 3"
"Sema3b",-0.315290624678585,0.382,"9","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B"
"Ifitm2",-0.313280184329187,0.0786,"7","interferon induced transmembrane protein 2"
"Ccn1",-0.311884643394684,0.02,"3","cellular communication network factor 1"
"Tjp3",-0.310859442702759,0.2674,"10","tight junction protein 3"
"Fli1",-0.307314433883435,0.1734,"9","Friend leukemia integration 1"
"St6galnac2",-0.307184543738393,0.1696,"11","ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2"
"Rnf213",-0.306069487162558,0.102,"11","ring finger protein 213"
"Shroom4",-0.305190126016778,0.1166,"X","shroom family member 4"
"Nmb",0.305127236585674,0.1178,"7","neuromedin B"
"Fcrls",-0.303284821871692,0.4196,"3","Fc receptor-like S, scavenger receptor"
"Aste1",0.302279786004677,0.0092,"9","asteroid homolog 1"
"Gpr34",-0.300445288912544,0.5468,"X","G protein-coupled receptor 34"
"Mylk3",0.29987325350569,0.1838,"8","myosin light chain kinase 3"
"Sfrp1",-0.299288461188182,0.0804,"8","secreted frizzled-related protein 1"
"Sdsl",0.298623827997506,0.0474,"5","serine dehydratase-like"
"Adgrl4",-0.298167753422847,0.2562,"3","adhesion G protein-coupled receptor L4"
"Ptprb",-0.298026717727949,0.2034,"10","protein tyrosine phosphatase, receptor type, B"
"Cobl",-0.297849504669061,0.047,"11","cordon-bleu WH2 repeat"
"Slc16a9",-0.297748224848153,0.2048,"10","solute carrier family 16 (monocarboxylic acid transporters), member 9"
"Sh2b2",0.29661419355484,0.0204,"5","SH2B adaptor protein 2"
"Phldb2",-0.296555566370566,0.1088,"16","pleckstrin homology like domain, family B, member 2"
"Col4a3",-0.295444254664944,0.5316,"1","collagen, type IV, alpha 3"
"Lars2",0.295154614976322,0.2004,"9","leucyl-tRNA synthetase, mitochondrial"
"Fgf5",0.293529122796791,0.0194,"5","fibroblast growth factor 5"
"Cish",-0.293303585468355,0.1672,"9","cytokine inducible SH2-containing protein"
"Col18a1",-0.293208792024042,0.1346,"10","collagen, type XVIII, alpha 1"
"Col6a2",-0.292013548924371,0.1316,"10","collagen, type VI, alpha 2"
"Slc16a8",-0.290382622251517,0.409,"15","solute carrier family 16 (monocarboxylic acid transporters), member 8"
"C2cd4a",0.289907502853169,0.1176,"9","C2 calcium-dependent domain containing 4A"
"Ston1",-0.28885062404859,0.2388,"17","stonin 1"
"Entpd1",-0.288097841476197,0.1564,"19","ectonucleoside triphosphate diphosphohydrolase 1"
"Ttc21a",0.287265607286078,0.3074,"9","tetratricopeptide repeat domain 21A"
"Gbp7",-0.286343749735431,0.0528,"3","guanylate binding protein 7"
"Fst",0.285672183561269,0.09,"13","follistatin"
"Bcam",-0.285240510717399,0.078,"7","basal cell adhesion molecule"
"Olfml3",-0.284548426186549,0.2574,"3","olfactomedin-like 3"
"Abca8a",-0.284512620724061,0.0566,"11","ATP-binding cassette, sub-family A (ABC1), member 8a"
"Nupr1",-0.283386521006239,0.1314,"7","nuclear protein transcription regulator 1"
"Pbx3",-0.283175810968372,0.0148,"2","pre B cell leukemia homeobox 3"
"Ntn1",-0.281696750799797,0.1618,"11","netrin 1"
"Tek",-0.278123198392319,0.2236,"4","TEK receptor tyrosine kinase"
"Rnf207",-0.277749457670753,0.1682,"4","ring finger protein 207"
"Podxl",-0.27692329374737,0.1812,"6","podocalyxin-like"
"Abcc9",-0.276490132482664,0.3366,"6","ATP-binding cassette, sub-family C (CFTR/MRP), member 9"
"Abca9",-0.275445663244338,0.51,"11","ATP-binding cassette, sub-family A (ABC1), member 9"
"Mrc2",-0.275094013934392,0.1136,"11","mannose receptor, C type 2"
"Cyp1b1",-0.27500893330048,0.1224,"17","cytochrome P450, family 1, subfamily b, polypeptide 1"
"Il6ra",-0.27500671816738,0.3086,"3","interleukin 6 receptor, alpha"
"Tmem204",-0.274070165505203,0.0924,"17","transmembrane protein 204"
"Wdfy1",0.272639283067111,0.1414,"1","WD repeat and FYVE domain containing 1"
"Itgam",-0.27249914730408,0.5544,"7","integrin alpha M"
"Ide",-0.271687934197952,0.0096,"19","insulin degrading enzyme"
"Gabra2",0.271003146988336,0.0074,"5","gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2"
"Vwf",-0.269694962453888,0.1372,"6","Von Willebrand factor"
"H2-D1",-0.268554700517678,0.0892,"17","histocompatibility 2, D region locus 1"
"Ccdc162",0.268406580137894,0.28,"10","coiled-coil domain containing 162"
"Serpinh1",-0.268398696326293,0.0424,"7","serine (or cysteine) peptidase inhibitor, clade H, member 1"
"Tnnt2",0.268363802849811,0.241,"1","troponin T2, cardiac"
"Shisa2",0.267537082887766,0.044,"14","shisa family member 2"
"Prelp",-0.267500056126704,0.0752,"1","proline arginine-rich end leucine-rich repeat"
"Dab2",-0.267151901319797,0.2726,"15","disabled 2, mitogen-responsive phosphoprotein"
"Bmp7",-0.266979989431805,0.254,"2","bone morphogenetic protein 7"
"Col1a1",-0.266353058507067,0.1476,"11","collagen, type I, alpha 1"
"Plxdc1",-0.265504971186753,0.0496,"11","plexin domain containing 1"
"Lgals1",-0.265384014907709,0.1526,"15","lectin, galactose binding, soluble 1"
"Sult1a1",0.264962924282762,0.0784,"7","sulfotransferase family 1A, phenol-preferring, member 1"
"Efcab6",-0.264586656505883,0.1684,"15","EF-hand calcium binding domain 6"
"Anxa3",-0.264465921561329,0.1394,"5","annexin A3"
"Ddr2",-0.263601233945603,0.0072,"1","discoidin domain receptor family, member 2"
"C130074G19Rik",-0.263372841502126,0.0328,"1","RIKEN cDNA C130074G19 gene"
"Crtap",-0.262939464544976,0.0582,"9","cartilage associated protein"
"Tfcp2l1",0.261423104014325,0.0356,"1","transcription factor CP2-like 1"
"Spint2",-0.259968154036784,0.3124,"7","serine protease inhibitor, Kunitz type 2"
"Slc38a5",0.259616688577275,0.0728,"X","solute carrier family 38, member 5"
"Pter",-0.258787704464545,0.0746,"2","phosphotriesterase related"
"Cmklr1",-0.257793109927238,0.1956,"5","chemokine-like receptor 1"
"Acan",0.256980918515327,0.1044,"7","aggrecan"
"Trim25",-0.256630420520067,0.0578,"11","tripartite motif-containing 25"
"Syndig1l",0.254268928572133,0.152,"12","synapse differentiation inducing 1 like"
"Sdk2",-0.25378718992284,0.273,"11","sidekick cell adhesion molecule 2"
"Nes",-0.253624344154643,0.1468,"3","nestin"
"A230001M10Rik",-0.25346901103272,0.2018,"3","RIKEN cDNA A230001M10 gene"
"Slc22a8",-0.251267167146121,0.1206,"19","solute carrier family 22 (organic anion transporter), member 8"
"Skap2",-0.25071327887804,0.0082,"6","src family associated phosphoprotein 2"
"Fbln2",-0.250217454432649,0.0958,"6","fibulin 2"
"Anxa2",-0.249026357630781,0.1942,"9","annexin A2"
"Egr2",-0.248938643269443,0.5002,"10","early growth response 2"
"Mgat5",-0.248733924082327,0.3832,"1","mannoside acetylglucosaminyltransferase 5"
"Robo4",-0.247162026955152,0.1304,"9","roundabout guidance receptor 4"
"Crhbp",-0.246535830679731,0.1086,"13","corticotropin releasing hormone binding protein"
"Cbln1",-0.24649384593492,0.105,"8","cerebellin 1 precursor protein"
"Fam135b",-0.246407395648419,0.5158,"15","family with sequence similarity 135, member B"
"Cpne9",0.24628098635453,0.1248,"6","copine family member IX"
"Clic5",-0.24609363886339,0.297,"17","chloride intracellular channel 5"
"H2-K1",-0.245584245612737,0.0296,"17","histocompatibility 2, K1, K region"
"Eng",-0.245213382161446,0.0302,"2","endoglin"
"Sspo",0.244160841133469,0.343,"6","SCO-spondin"
"Dock8",-0.243936177781247,0.4226,"19","dedicator of cytokinesis 8"
"Tinagl1",-0.243337148834023,0.0878,"4","tubulointerstitial nephritis antigen-like 1"
"Pltp",-0.242462610187814,0.213,"2","phospholipid transfer protein"
"Slc7a11",-0.241609656989405,0.1322,"3","solute carrier family 7 (cationic amino acid transporter, y+ system), member 11"
"Sod3",-0.240295529053896,0.1358,"5","superoxide dismutase 3, extracellular"
"Kcnh7",-0.24011512953076,0.5894,"2","potassium voltage-gated channel, subfamily H (eag-related), member 7"
"Selplg",-0.23992723157061,0.4894,"5","selectin, platelet (p-selectin) ligand"
"Rtp4",-0.237714826420951,0.2738,"16","receptor transporter protein 4"
"Car12",-0.236770026778447,0.0322,"9","carbonic anhydrase 12"
"Drc7",-0.235802354350094,0.5408,"8","dynein regulatory complex subunit 7"
"Atp10d",-0.235730809484737,0.2446,"5","ATPase, class V, type 10D"
"Slco1c1",-0.235617054671297,0.0612,"6","solute carrier organic anion transporter family, member 1c1"
"Nckap5",-0.235104504404023,0.0146,"1","NCK-associated protein 5"
"Rtkn2",0.23473952127145,0.1922,"10","rhotekin 2"
