"symbol","logFC","P.Value","chr","description"
"Hpgd",-0.615205824556421,0.1648,"8","hydroxyprostaglandin dehydrogenase 15 (NAD)"
"C2cd4a",0.612162006260653,0.0628,"9","C2 calcium-dependent domain containing 4A"
"Pon3",-0.609409122053683,0.2024,"6","paraoxonase 3"
"Enpp2",-0.603485760706665,0.2208,"15","ectonucleotide pyrophosphatase/phosphodiesterase 2"
"Angptl2",-0.59923001301215,0.5008,"2","angiopoietin-like 2"
"Ifitm3",-0.594529667344943,0.0836,"7","interferon induced transmembrane protein 3"
"Col1a2",-0.593810912810703,0.2464,"6","collagen, type I, alpha 2"
"Adnp",-0.593705841218724,0.1008,"2","activity-dependent neuroprotective protein"
"Tgm2",-0.58931085065849,0.0592,"2","transglutaminase 2, C polypeptide"
"Anxa3",-0.587319210331423,0.0228,"5","annexin A3"
"Nid1",-0.586199511753356,0.0856,"13","nidogen 1"
"Bmp7",-0.586170170591118,0.2636,"2","bone morphogenetic protein 7"
"Aldh1a2",-0.583019112618472,0.3464,"9","aldehyde dehydrogenase family 1, subfamily A2"
"Mgat5",-0.581933978612625,0.0996,"1","mannoside acetylglucosaminyltransferase 5"
"Htr2c",-0.572995000827886,0.1592,"X","5-hydroxytryptamine (serotonin) receptor 2C"
"Pcdhac2",-0.571808118302113,0.1084,"18","protocadherin alpha subfamily C, 2"
"F11r",-0.57177426214681,0.1152,"1","F11 receptor"
"Erich3",-0.567152902732754,0.0612,"3","glutamate rich 3"
"Bcam",-0.561158663315674,0.0612,"7","basal cell adhesion molecule"
"Rdh5",-0.55996367751984,0.3592,"10","retinol dehydrogenase 5"
"Podxl",-0.558933363134975,0.0588,"6","podocalyxin-like"
"Cfh",-0.557801136896279,0.2528,"1","complement component factor h"
"Ldb2",-0.556533595759244,0.0456,"5","LIM domain binding 2"
"Plk1",0.555224601654096,0.2188,"7","polo like kinase 1"
"Lcp1",-0.551750556032334,0.2376,"14","lymphocyte cytosolic protein 1"
"Gm36742",0.551619419016831,0.0108,"16","predicted gene, 36742"
"Npff",0.550720088108226,0.4036,"15","neuropeptide FF-amide peptide precursor"
"Pcdha12",-0.549703212218173,0.2428,"18","protocadherin alpha 12"
"Gask1a",0.546411743040927,0.0056,"9","golgi associated kinase 1A"
"Tmem204",-0.543361527346121,0.0144,"17","transmembrane protein 204"
"Atp2a3",-0.532973433482773,0.0328,"11","ATPase, Ca++ transporting, ubiquitous"
"Gbp3",-0.532303607524524,0.03,"3","guanylate binding protein 3"
"Zfp551",-0.531914300053801,0.1484,"7","zinc fingr protein 551"
"Igfbp7",-0.530872200260581,0.0772,"5","insulin-like growth factor binding protein 7"
"Col18a1",-0.526649318392994,0.1008,"10","collagen, type XVIII, alpha 1"
"Selplg",-0.522335349488829,0.2092,"5","selectin, platelet (p-selectin) ligand"
"Tbx6",0.522056799525705,0.218,"7","T-box 6"
"Cd59a",-0.51691011696054,0.192,"2","CD59a antigen"
"Fndc8",0.515737404084013,0.2784,"11","fibronectin type III domain containing 8"
"Rasgrp4",0.515556389304985,0.0628,"7","RAS guanyl releasing protein 4"
"Pla2g4e",0.513195252959871,0.6732,"2","phospholipase A2, group IVE"
"Cdkl5",-0.508882278135616,0.272,"X","cyclin-dependent kinase-like 5"
"Ntn4",-0.508620859936127,0.0424,"10","netrin 4"
"Cplx3",0.508499841212178,0.1252,"9","complexin 3"
"Inpp5d",-0.507208279158858,0.1,"1","inositol polyphosphate-5-phosphatase D"
"Glmn",0.504997136475947,0.1824,"5","glomulin, FKBP associated protein"
"Mgp",-0.502974266919471,0.1764,"6","matrix Gla protein"
"Ifi27l2a",-0.499204315039783,0.4688,"12","interferon, alpha-inducible protein 27 like 2A"
"Gpr26",-0.498703289423498,0.1176,"7","G protein-coupled receptor 26"
"Arfgef3",-0.493298484496166,0.2224,"10","ARFGEF family member 3"
"Cp",-0.49262707338384,0.0196,"3","ceruloplasmin"
"Fzd4",-0.491966995373567,0.2028,"7","frizzled class receptor 4"
"Crhr2",-0.491772840422409,0.3664,"6","corticotropin releasing hormone receptor 2"
"Abca9",-0.491588013944162,0.2564,"11","ATP-binding cassette, sub-family A (ABC1), member 9"
"Tns1",-0.489285646859645,0.0196,"1","tensin 1"
"Kcnh7",-0.48773125030335,0.4336,"2","potassium voltage-gated channel, subfamily H (eag-related), member 7"
"Vwf",-0.486432847168123,0.0364,"6","Von Willebrand factor"
"Myh11",-0.47913285252755,0.0064,"16","myosin, heavy polypeptide 11, smooth muscle"
"Slc16a8",-0.479112160845344,0.4916,"15","solute carrier family 16 (monocarboxylic acid transporters), member 8"
"Sdk2",-0.478110585727019,0.096,"11","sidekick cell adhesion molecule 2"
"Mir3064",0.476901345365414,0.164,"11","microRNA 3064"
"Aste1",0.474845544686459,0.016,"9","asteroid homolog 1"
"Lmbrd2",-0.474816620113055,0.3204,"15","LMBR1 domain containing 2"
"Ovgp1",0.473917634603134,0.252,"3","oviductal glycoprotein 1"
"Cyp11a1",0.4728495141685,0.0452,"9","cytochrome P450, family 11, subfamily a, polypeptide 1"
"Pcdhga3",-0.471915402214026,0.0816,"18","protocadherin gamma subfamily A, 3"
"Gm10791",0.471235247926136,0.3032,"16","predicted gene 10791"
"Slfn5",-0.470413163922154,0.0568,"11","schlafen 5"
"Il6ra",-0.470393063969514,0.1976,"3","interleukin 6 receptor, alpha"
"Robo4",-0.468913124400943,0.0052,"9","roundabout guidance receptor 4"
"Cdh23",-0.468130670225793,0.1404,"10","cadherin 23 (otocadherin)"
"Ucp2",-0.467654891763036,0.2152,"7","uncoupling protein 2 (mitochondrial, proton carrier)"
"Tinagl1",-0.465960376392394,0.0524,"4","tubulointerstitial nephritis antigen-like 1"
"Clic5",-0.46567525287794,0.1072,"17","chloride intracellular channel 5"
"Edn3",-0.464920907524847,0.094,"2","endothelin 3"
"Atp10d",-0.462771810892424,0.322,"5","ATPase, class V, type 10D"
"Klhl15",-0.461206216838354,0.1984,"X","kelch-like 15"
"Kcnh4",0.460746260477903,0.2076,"11","potassium voltage-gated channel, subfamily H (eag-related), member 4"
"Fn1",-0.460435109543322,0.0884,"1","fibronectin 1"
"Anxa2",-0.460429067080464,0.1752,"9","annexin A2"
"Kl",-0.459987133236671,0.182,"5","klotho"
"Steap2",-0.458383462637148,0.2372,"5","six transmembrane epithelial antigen of prostate 2"
"Cbl",-0.4572395397587,0.2504,"9","Casitas B-lineage lymphoma"
"Cdh5",-0.456719226719473,0.0108,"8","cadherin 5"
"Galnt3",0.45607463911001,0.1068,"2","polypeptide N-acetylgalactosaminyltransferase 3"
"Ptprb",-0.455993499934658,0.0432,"10","protein tyrosine phosphatase, receptor type, B"
"Prkag2os1",0.45586233773477,0.4996,"5","protein kinase, AMP-activated, gamma 2 non-catalytic subunit, opposite strand 1"
"Fmo2",-0.454440595679209,0.1516,"1","flavin containing monooxygenase 2"
"Pcdhga5",-0.452151699217098,0.0448,"18","protocadherin gamma subfamily A, 5"
"Chn1os3",0.451901268461277,0.2516,"2","chimerin 1, opposite strand 3"
"Itm2a",-0.451263658861755,0.0996,"X","integral membrane protein 2A"
"Gm15328",0.450939495868513,0.2856,"18","predicted gene 15328"
"Palm3",0.450697053666035,0.096,"8","paralemmin 3"
"Tjp3",-0.449669270606628,0.364,"10","tight junction protein 3"
"Flt1",-0.447440844046413,0.082,"5","FMS-like tyrosine kinase 1"
"Cd93",-0.445281956273022,0.1244,"2","CD93 antigen"
"Fam135b",-0.444871173498278,0.398,"15","family with sequence similarity 135, member B"
"Pltp",-0.443860029923476,0.0256,"2","phospholipid transfer protein"
"Zfp59",0.442428475591182,0.0836,"7","zinc finger protein 59"
"Nes",-0.43907123115305,0.0428,"3","nestin"
"Fads6",-0.437309050674199,0.1784,"11","fatty acid desaturase domain family, member 6"
"Col9a3",-0.434598934485506,0.4104,"2","collagen, type IX, alpha 3"
"Fam216b",-0.433306012345609,0.2716,"14","family with sequence similarity 216, member B"
"Pcdhgc4",-0.432221269315173,0.2492,"18","protocadherin gamma subfamily C, 4"
"Shroom4",-0.430751741335941,0.0396,"X","shroom family member 4"
"Gm266",0.430573514525234,0.1468,"12","predicted gene 266"
"Col15a1",-0.430391546242792,0.1252,"4","collagen, type XV, alpha 1"
"Slc25a34",0.429930685207424,0.1504,"4","solute carrier family 25, member 34"
"Myoc",-0.42871662245117,0.2732,"1","myocilin"
"Tek",-0.427710729380362,0.0812,"4","TEK receptor tyrosine kinase"
"Krtcap3",0.427017101013746,0.2652,"5","keratinocyte associated protein 3"
"Adgrl4",-0.424701931487473,0.1316,"3","adhesion G protein-coupled receptor L4"
"Cd55",-0.424070104726441,0.0908,"1","CD55 molecule, decay accelerating factor for complement"
"Nfkbid",0.423872976854885,0.0752,"7","nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, delta"
"Nptxr",-0.422747422680746,0.0708,"15","neuronal pentraxin receptor"
"Trim67",-0.422290936238121,0.0108,"8","tripartite motif-containing 67"
"Lgals9",-0.420069272253455,0.1296,"11","lectin, galactose binding, soluble 9"
"Gm5577",0.418226206896346,0.4152,"6","predicted gene 5577"
"Pld4",-0.418005646264558,0.0284,"12","phospholipase D family, member 4"
"Tgfbr2",-0.417739956968759,0.0468,"9","transforming growth factor, beta receptor II"
"Nuf2",0.415271979552752,0.0888,"1","NUF2, NDC80 kinetochore complex component"
"Il17rc",0.415165395686027,0.0908,"6","interleukin 17 receptor C"
"Cd164l2",0.412710271958613,0.1424,"4","CD164 sialomucin-like 2"
"Klf4",-0.412701963048336,0.0284,"4","Kruppel-like factor 4 (gut)"
"Heg1",-0.412189231725332,0.2088,"16","heart development protein with EGF-like domains 1"
"Cish",-0.412080747772678,0.4068,"9","cytokine inducible SH2-containing protein"
"Adgrf5",-0.410862899658953,0.0772,"17","adhesion G protein-coupled receptor F5"
"Acta2",-0.410724311937167,0.164,"19","actin alpha 2, smooth muscle, aorta"
