"symbol","logFC","P.Value","chr","description"
"Stard8",-0.164224621832281,0.4132,"X","START domain containing 8"
"Poc5",-0.164148160966262,0.2796,"13","POC5 centriolar protein"
"Rbx1",0.164123399244007,0.1688,"15","ring-box 1"
"Neu4",-0.164051409095809,0.2508,"1","sialidase 4"
"Klhl24",-0.164024123338236,0.336,"16","kelch-like 24"
"Prrt1",0.163992704273042,0.3612,"17","proline-rich transmembrane protein 1"
"Ednrb",0.163934395141259,0.3796,"14","endothelin receptor type B"
"Eef1akmt2",0.163887428597355,0.2136,"7","EEF1A lysine methyltransferase 2"
"Sox18",-0.163883185702452,0.4824,"2","SRY (sex determining region Y)-box 18"
"Cspg4",-0.163827190219009,0.2236,"9","chondroitin sulfate proteoglycan 4"
"Nop16",0.163757638287504,0.1616,"13","NOP16 nucleolar protein"
"Ube2a",0.163713767743698,0.2056,"X","ubiquitin-conjugating enzyme E2A"
"Orc6",0.163708213744389,0.0392,"8","origin recognition complex, subunit 6"
"Lrrc51",0.16369519992414,0.4188,"7","leucine rich repeat containing 51"
"Vps13c",0.163687210219547,0.6936,"9","vacuolar protein sorting 13C"
"Syna",-0.163685174618397,0.3048,"5","syncytin a"
"Tpd52",0.163663085739958,0.06,"3","tumor protein D52"
"Crispld1",-0.163634704189532,0.1376,"1","cysteine-rich secretory protein LCCL domain containing 1"
"Spa17",-0.163615467329559,0.5792,"9","sperm autoantigenic protein 17"
"Spryd4",0.16359503274525,0.4772,"10","SPRY domain containing 4"
"Fam8a1",-0.163591823932605,0.4332,"13","family with sequence similarity 8, member A1"
"Cdk9",0.163586916373037,0.2712,"2","cyclin-dependent kinase 9 (CDC2-related kinase)"
"C1d",0.163531502071078,0.0808,"11","C1D nuclear receptor co-repressor"
"Mrpl1",0.163518515609429,0.0088,"5","mitochondrial ribosomal protein L1"
"Kti12",0.163511212306014,0.3196,"4","KTI12 homolog, chromatin associated"
"Trim68",0.163482759559284,0.4608,"7","tripartite motif-containing 68"
"Tmem98",-0.163476571285088,0.4396,"11","transmembrane protein 98"
"8430429K09Rik",0.163404717515878,0.1612,"11","RIKEN cDNA 8430429K09 gene"
"Hnrnpm",0.163398210889786,0.3392,"17","heterogeneous nuclear ribonucleoprotein M"
"Snx7",-0.163312080708188,0.3208,"3","sorting nexin 7"
"C1ql1",-0.163251430869205,0.3936,"11","complement component 1, q subcomponent-like 1"
"Isy1",0.16324809652605,0.1412,"6","ISY1 splicing factor homolog"
"Mat2a",0.163240880374738,0.1916,"6","methionine adenosyltransferase II, alpha"
"Klf2",-0.163202898505336,0.4276,"8","Kruppel-like factor 2 (lung)"
"Adgra1",-0.163163491992303,0.2692,"7","adhesion G protein-coupled receptor A1"
"Zfp790",-0.163048440113991,0.2548,"7","zinc finger protein 790"
"Ly6a",-0.163047857011811,0.3112,"15","lymphocyte antigen 6 complex, locus A"
"Eri2",0.163014014826135,0.2764,"7","exoribonuclease 2"
"Cdc42bpb",-0.163013254604545,0.0168,"12","CDC42 binding protein kinase beta"
"Txnip",-0.162956646911171,0.4588,"3","thioredoxin interacting protein"
"Fmnl3",-0.162845739508573,0.1732,"15","formin-like 3"
"Pold1",0.16282243607819,0.3348,"7","polymerase (DNA directed), delta 1, catalytic subunit"
"Rbm25",0.162795864275202,0.508,"12","RNA binding motif protein 25"
"Mrs2",-0.162750500435703,0.4564,"13","MRS2 magnesium transporter"
"Cmklr1",-0.162716045881092,0.3532,"5","chemokine-like receptor 1"
"Mpzl1",0.162688056246215,0.1648,"1","myelin protein zero-like 1"
"Rpl21",0.162677515961475,0.3216,"5","ribosomal protein L21"
"Gramd3",0.162572333751617,0.0892,"18","GRAM domain containing 3"
"Mchr1",-0.162524273275952,0.296,"15","melanin-concentrating hormone receptor 1"
"Mtln",0.16252221522481,0.162,"2","mitoregulin"
"Oxsm",-0.162445922093486,0.3776,"14","3-oxoacyl-ACP synthase, mitochondrial"
"Sft2d1",0.162437015614793,0.2528,"17","SFT2 domain containing 1"
"Ak2",0.162400298702806,0.288,"4","adenylate kinase 2"
"Dock5",-0.162381693065383,0.5268,"14","dedicator of cytokinesis 5"
"Mbd6",0.162373040779888,0.6624,"10","methyl-CpG binding domain protein 6"
"Arl10",-0.162355959010175,0.528,"13","ADP-ribosylation factor-like 10"
"Mrpl22",0.162256928455271,0.0932,"11","mitochondrial ribosomal protein L22"
"Spag7",0.162256433053745,0.1256,"11","sperm associated antigen 7"
"Qsox1",-0.162206808308457,0.2248,"1","quiescin Q6 sulfhydryl oxidase 1"
"2310009B15Rik",0.162188969162831,0.3612,"1","RIKEN cDNA 2310009B15 gene"
"Spidr",-0.162181374706434,0.34,"16","scaffolding protein involved in DNA repair"
"Loxl1",-0.162075377999995,0.2316,"9","lysyl oxidase-like 1"
"1110038B12Rik",0.162062119365467,0.4668,"17","RIKEN cDNA 1110038B12 gene"
"Rps7",0.162014903570029,0.2848,"12","ribosomal protein S7"
"Vrk3",0.161963134371969,0.2868,"7","vaccinia related kinase 3"
"Ube2e1",0.161956932324715,0.2928,"14","ubiquitin-conjugating enzyme E2E 1"
"Ecm1",0.16188920996036,0.5948,"3","extracellular matrix protein 1"
"Pgap3",-0.161815292052845,0.2028,"11","post-GPI attachment to proteins 3"
"Tyk2",0.161804884669941,0.5072,"9","tyrosine kinase 2"
"Celf3",0.161728022343837,0.4048,"3","CUGBP, Elav-like family member 3"
"Cntn2",-0.161678020192763,0.2244,"1","contactin 2"
"Itga10",0.161651621989375,0.728,"3","integrin, alpha 10"
"Sp9",0.161609330539047,0.5956,"2","trans-acting transcription factor 9"
"Man2b2",-0.161584268926382,0.0396,"5","mannosidase 2, alpha B2"
"Psd",0.161537954748809,0.3776,"19","pleckstrin and Sec7 domain containing"
"Iqgap1",-0.161434481566591,0.4548,"7","IQ motif containing GTPase activating protein 1"
"Frg2f1",0.161401469389548,0.2584,"4","FSHD region gene 2 family member 1"
"Adam1a",0.161396513747809,0.6184,"5","a disintegrin and metallopeptidase domain 1a"
"Tamm41",-0.161386849758211,0.2808,"6","TAM41 mitochondrial translocator assembly and maintenance homolog"
"Stk32a",-0.161301964458909,0.5428,"18","serine/threonine kinase 32A"
"Immp1l",0.161233770654343,0.1212,"2","IMP1 inner mitochondrial membrane peptidase-like (S. cerevisiae)"
"Rasl10a",0.161211848484975,0.3144,"11","RAS-like, family 10, member A"
"Nudt16l1",0.161197585220617,0.3772,"16","nudix (nucleoside diphosphate linked moiety X)-type motif 16-like 1"
"Mgme1",0.161197360325649,0.2808,"2","mitochondrial genome maintenance exonuclease 1"
"Ndufb4",0.161182937319889,0.3016,"16","NADH:ubiquinone oxidoreductase subunit B4"
"Ndufb4",0.161182937319889,0.3016,"16","NADH:ubiquinone oxidoreductase subunit B4"
"Ndufb4",0.161182937319889,0.3016,"16","NADH:ubiquinone oxidoreductase subunit B4"
"Gxylt1",-0.161046726665874,0.3892,"15","glucoside xylosyltransferase 1"
"Tmem223",0.160954700157784,0.336,"19","transmembrane protein 223"
"Ttll4",0.160944534977601,0.3372,"1","tubulin tyrosine ligase-like family, member 4"
"Dag1",-0.160914350240985,0.1468,"9","dystroglycan 1"
"Clasrp",0.160913930888404,0.4888,"7","CLK4-associating serine/arginine rich protein"
"Cers5",-0.16091109886765,0.0512,"15","ceramide synthase 5"
"Map2k6",-0.160850688884274,0.18,"11","mitogen-activated protein kinase kinase 6"
"1700030K09Rik",0.160834382112833,0.3996,"8","RIKEN cDNA 1700030K09 gene"
"Rps23",0.16078299993091,0.3044,"13","ribosomal protein S23"
"Lig1",-0.16071212005181,0.2708,"7","ligase I, DNA, ATP-dependent"
"Mrpl27",0.160696622798927,0.3172,"11","mitochondrial ribosomal protein L27"
"Proca1",0.160642087969045,0.4268,"11","protein interacting with cyclin A1"
"Slc25a42",0.16062208271023,0.3044,"8","solute carrier family 25, member 42"
"Zfp94",0.160536637030674,0.032,"7","zinc finger protein 94"
"Bambi",0.160519904332849,0.14,"18","BMP and activin membrane-bound inhibitor"
"Ap5s1",0.160463858885382,0.2904,"2","adaptor-related protein 5 complex, sigma 1 subunit"
"Dnaaf4",-0.1604522336273,0.37,"9","dynein axonemal assembly factor 4"
"Rps20",0.160438064286771,0.3272,"4","ribosomal protein S20"
"Slc4a1ap",0.16036879602181,0.2024,"5","solute carrier family 4 (anion exchanger), member 1, adaptor protein"
"Asic4",-0.160217520212387,0.3152,"1","acid-sensing (proton-gated) ion channel family member 4"
"Synm",-0.160138750249109,0.2196,"7","synemin, intermediate filament protein"
"Stx3",0.160008894100642,0.466,"19","syntaxin 3"
"Sarnp",0.159993097638048,0.2896,"10","SAP domain containing ribonucleoprotein"
"Nup205",0.159981546143256,0.3656,"6","nucleoporin 205"
"Zfp942",0.159953801323151,0.0636,"17","zinc finger protein 942"
"Ankrd44",-0.159932405241428,0.3508,"1","ankyrin repeat domain 44"
"Penk",0.159921354703947,0.3536,"4","preproenkephalin"
"Rps8",0.159901289524099,0.366,"4","ribosomal protein S8"
"Rps8",0.159901289524099,0.366,"4","ribosomal protein S8"
"Eme2",0.159816447625003,0.2636,"17","essential meiotic structure-specific endonuclease subunit 2"
"Zfp956",0.159747296830781,0.1696,"6","zinc finger protein 956"
"Mki67",-0.159730266571893,0.5264,"7","antigen identified by monoclonal antibody Ki 67"
"Bud31",0.159670953797371,0.2672,"5","BUD31 homolog"
"BC024978",0.159599613200122,0.122,"7","cDNA sequence BC024978"
"Gbp7",-0.159576191229269,0.4408,"3","guanylate binding protein 7"
"2900026A02Rik",-0.159467041221919,0.0316,"5","RIKEN cDNA 2900026A02 gene"
"B2m",-0.159450129757578,0.476,"2","beta-2 microglobulin"
"Ybx2",0.159445126122718,0.63,"11","Y box protein 2"
"Pyurf",0.159343129964622,0.096,"6","Pigy upstream reading frame"
"Adgrl2",-0.159263765707081,0.7464,"3","adhesion G protein-coupled receptor L2"
"Zscan29",0.159131937102083,0.2784,"2","zinc finger SCAN domains 29"
"Myo1b",-0.159121203324377,0.414,"1","myosin IB"
"Aaas",0.159110057980448,0.1792,"15","achalasia, adrenocortical insufficiency, alacrimia"
"Rbm45",0.159103337027513,0.0308,"2","RNA binding motif protein 45"
"Ftx",0.159102701928466,0.6452,"X","Ftx transcript, Xist regulator (non-protein coding)"
"Ktn1",0.159030268480416,0.2184,"14","kinectin 1"
"Cdkl3",0.159000374083373,0.1984,"11","cyclin-dependent kinase-like 3"
"Zfand2a",-0.15896197472236,0.2432,"5","zinc finger, AN1-type domain 2A"
"Mob3b",-0.158894935215703,0.5584,"4","MOB kinase activator 3B"
"Galt",0.15883997828909,0.2568,"4","galactose-1-phosphate uridyl transferase"
"Pcnx2",-0.15881777977058,0.1424,"8","pecanex homolog 2"
"Phf20",-0.158780056083599,0.154,"2","PHD finger protein 20"
"Actl6b",0.158754541248229,0.2244,"5","actin-like 6B"
"Zfp277",0.158748670698058,0.1948,"12","zinc finger protein 277"
"Hecw2",-0.158744723918273,0.2604,"1","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
"Mfsd8",0.158735316682962,0.2064,"3","major facilitator superfamily domain containing 8"
"Stard10",0.158705298136051,0.2668,"7","START domain containing 10"
"Hmces",0.158632681360455,0.3492,"6","5-hydroxymethylcytosine (hmC) binding, ES cell specific"
"Rbis",0.158626412988302,0.2612,"3","ribosomal biogenesis factor"
"Atp13a4",0.158609082247532,0.3832,"16","ATPase type 13A4"
"Fxyd5",0.158291390537689,0.4192,"7","FXYD domain-containing ion transport regulator 5"
"Vav3",0.158281161480272,0.0164,"3","vav 3 oncogene"
"Igfbp6",-0.158254299086396,0.3212,"15","insulin-like growth factor binding protein 6"
"Eed",0.158196146701027,0.0812,"7","embryonic ectoderm development"
"Edem2",0.158181088976429,0.1216,"2","ER degradation enhancer, mannosidase alpha-like 2"
"Myo1c",-0.158128670493417,0.1048,"11","myosin IC"
"Cdca4",0.158070713964269,0.2404,"12","cell division cycle associated 4"
"Zfp850",-0.158040753438382,0.2676,"7","zinc finger protein 850"
"Runx2",0.157983252486712,0.6072,"17","runt related transcription factor 2"
"Kcnn3",-0.157948481576428,0.5732,"3","potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3"
"Racgap1",0.157946889472071,0.4212,"15","Rac GTPase-activating protein 1"
"Lrrc42",0.157912247055913,0.1452,"4","leucine rich repeat containing 42"
"Garem2",0.157841877581244,0.2344,"5","GRB2 associated regulator of MAPK1 subtype 2"
"Exosc9",0.157818176600319,0.0788,"3","exosome component 9"
"Calb1",0.157769004928797,0.2964,"4","calbindin 1"
"Sos2",-0.157735603814523,0.1696,"12","SOS Ras/Rho guanine nucleotide exchange factor 2"
"Rpf1",0.157683736917309,0.1072,"3","ribosome production factor 1 homolog"
"Mcub",0.157676613217796,0.2724,"3","mitochondrial calcium uniporter dominant negative beta subunit"
"Cobll1",-0.157662332939166,0.4172,"2","Cobl-like 1"
"Wnk4",0.157636006264834,0.6532,"11","WNK lysine deficient protein kinase 4"
"Gtf2f2",0.157612851392754,0.0616,"14","general transcription factor IIF, polypeptide 2"
"Prom1",-0.157514433517137,0.0788,"5","prominin 1"
"B9d2",0.157504150408918,0.1992,"7","B9 protein domain 2"
"Serhl",0.157477155288572,0.5656,"15","serine hydrolase-like"
"Ppp1r3e",-0.15747155250263,0.3892,"14","protein phosphatase 1, regulatory subunit 3E"
"Glrx2",0.157444147228697,0.0692,"1","glutaredoxin 2 (thioltransferase)"
"Myc",0.157438621168304,0.1836,"15","myelocytomatosis oncogene"
"Cyp4f17",0.157429801619367,0.716,"17","cytochrome P450, family 4, subfamily f, polypeptide 17"
"Dok5",0.15726006382453,0.2708,"2","docking protein 5"
"Rpp40",0.15725608040461,0.31,"13","ribonuclease P 40 subunit"
"Ccdc59",0.157218837645459,0.1468,"10","coiled-coil domain containing 59"
"Card10",0.15719743121613,0.2332,"15","caspase recruitment domain family, member 10"
"Sirt5",0.157129577168445,0.322,"13","sirtuin 5"
"2810049E08Rik",0.157129251995494,0.4516,"13","RIKEN cDNA 2810049E08 gene"
"Pex12",0.157104420667048,0.3984,"11","peroxisomal biogenesis factor 12"
"Tarbp1",0.157072187719149,0.584,"8","TAR RNA binding protein 1"
"Zfp30",-0.157057161920061,0.2216,"7","zinc finger protein 30"
"Anks6",0.15698588993821,0.4192,"4","ankyrin repeat and sterile alpha motif domain containing 6"
"Nufip1",0.156921085386861,0.0532,"14","nuclear FMR1 interacting protein 1"
"Gpr137c",-0.156917261050057,0.4328,"14","G protein-coupled receptor 137C"
"Gli3",0.156909257100193,0.5004,"13","GLI-Kruppel family member GLI3"
"Wdr5",0.156884888728549,0.0512,"2","WD repeat domain 5"
"B230206H07Rik",0.156857887914402,0.6976,"7","RIKEN cDNA B230206H07 gene"
"Gcnt2",-0.156751246197792,0.2156,"13","glucosaminyl (N-acetyl) transferase 2, I-branching enzyme"
"Ntsr2",0.156749868794702,0.3432,"12","neurotensin receptor 2"
"Tbpl1",0.156738333382555,0.0392,"10","TATA box binding protein-like 1"
"Amotl2",-0.156728320213968,0.4336,"9","angiomotin-like 2"
"Zscan20",-0.156710479807747,0.3024,"4","zinc finger and SCAN domains 20"
"Lrrc75a",0.156694264342133,0.3704,"11","leucine rich repeat containing 75A"
"E130008D07Rik",0.156670680148688,0.4548,"17","RIKEN cDNA E130008D07 gene"
"Gdf10",0.156648115533624,0.2652,"14","growth differentiation factor 10"
"Vsig2",-0.156557739769683,0.276,"9","V-set and immunoglobulin domain containing 2"
"Gpr176",0.15646849180434,0.1416,"2","G protein-coupled receptor 176"
"Ppp1r3g",0.156408782572406,0.4488,"13","protein phosphatase 1, regulatory subunit 3G"
"Pde12",-0.156399180645609,0.3412,"14","phosphodiesterase 12"
"Chadl",0.156275584287208,0.2716,"15","chondroadherin-like"
"Zfp28",0.15625770346058,0.1776,"7","zinc finger protein 28"
"Rpl31",0.156257095608241,0.3256,"1","ribosomal protein L31"
"Lynx1",-0.156238505522735,0.2196,"15","Ly6/neurotoxin 1"
"Ints10",0.1562018573133,0.3944,"8","integrator complex subunit 10"
"Napepld",0.155968488709239,0.1288,"5","N-acyl phosphatidylethanolamine phospholipase D"
"Psma1",0.155850374284534,0.0408,"7","proteasome subunit alpha 1"
"Ech1",0.155838838362341,0.294,"7","enoyl coenzyme A hydratase 1, peroxisomal"
"Cry1",0.15580480391588,0.1752,"10","cryptochrome 1 (photolyase-like)"
"Map3k19",0.155707935925948,0.6276,"1","mitogen-activated protein kinase kinase kinase 19"
"Slc30a1",-0.155684250262786,0.3492,"1","solute carrier family 30 (zinc transporter), member 1"
"Heatr6",0.155619209477935,0.3116,"11","HEAT repeat containing 6"
"Lingo2",-0.155591459381519,0.4236,"4","leucine rich repeat and Ig domain containing 2"
"Lcmt2",0.155579613522414,0.3992,"2","leucine carboxyl methyltransferase 2"
"Zfp213",0.155546331649401,0.228,"17","zinc finger protein 213"
"Tmem38b",0.15554332611321,0.114,"4","transmembrane protein 38B"
"Angel2",0.155440277116481,0.084,"1","angel homolog 2"
"Dot1l",0.155408718660144,0.6608,"10","DOT1-like, histone H3 methyltransferase (S. cerevisiae)"
"Arhgap45",-0.155368686788373,0.5088,"10","Rho GTPase activating protein 45"
"Ptpn5",-0.155351858900927,0.2032,"7","protein tyrosine phosphatase, non-receptor type 5"
"Snrpa1",0.155316902894782,0.2412,"7","small nuclear ribonucleoprotein polypeptide A'"
"Vta1",0.155316195455263,0.1256,"10","vesicle (multivesicular body) trafficking 1"
"Vta1",0.155316195455263,0.1256,"10","vesicle (multivesicular body) trafficking 1"
"Rabepk",0.155305826620495,0.0612,"2","Rab9 effector protein with kelch motifs"
"Fbxl18",-0.15522761692552,0.3076,"5","F-box and leucine-rich repeat protein 18"
"Osbpl3",0.15514427050779,0.45,"6","oxysterol binding protein-like 3"
"Idua",0.155143600519288,0.4556,"5","iduronidase, alpha-L"
"Mettl21a",0.155060350582609,0.2808,"1","methyltransferase like 21A"
"Cog6",0.155059406067067,0.0836,"3","component of oligomeric golgi complex 6"
"Pla2g2f",0.155047454229173,0.4356,"4","phospholipase A2, group IIF"
"Naglu",-0.154991069944046,0.29,"11","alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)"
"Tuba8",-0.154890528638023,0.6016,"6","tubulin, alpha 8"
"2300009A05Rik",0.154871098583946,0.2612,"9","RIKEN cDNA 2300009A05 gene"
"Mapk15",-0.15485804017663,0.6604,"15","mitogen-activated protein kinase 15"
"Rsbn1l",0.154834200574067,0.254,"5","round spermatid basic protein 1-like"
"Anp32a",0.154748340470739,0.0624,"9","acidic (leucine-rich) nuclear phosphoprotein 32 family, member A"
"Grem1",-0.154663733242101,0.8728,"2","gremlin 1, DAN family BMP antagonist"
"Nop56",0.154624118912306,0.2032,"2","NOP56 ribonucleoprotein"
"Ppp1r14b",0.154618558970371,0.3576,"19","protein phosphatase 1, regulatory inhibitor subunit 14B"
"Psma4",0.154596613972504,0.0108,"9","proteasome subunit alpha 4"
"Them4",0.154566773228053,0.08,"3","thioesterase superfamily member 4"
"Lims2",-0.154486232772403,0.3784,"18","LIM and senescent cell antigen like domains 2"
"H6pd",-0.154483941088624,0.3944,"4","hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)"
"Zfat",0.154464520163465,0.2024,"15","zinc finger and AT hook domain containing"
"0610010K14Rik",0.154433162909437,0.3596,"11","RIKEN cDNA 0610010K14 gene"
"Slc26a10",0.154419509932588,0.5576,"10","solute carrier family 26, member 10"
"Nrip2",0.154380800457406,0.24,"6","nuclear receptor interacting protein 2"
"Il6st",-0.154348248094586,0.1936,"13","interleukin 6 signal transducer"
"Nt5c",0.154199499713163,0.2276,"11","5',3'-nucleotidase, cytosolic"
"Trmt44",0.154158490314232,0.3504,"5","tRNA methyltransferase 44"
"Cyb561d1",0.154158200207759,0.064,"3","cytochrome b-561 domain containing 1"
"Marchf1",-0.154155132054595,0.4716,"8","membrane associated ring-CH-type finger 1"
"Ehd4",-0.154096198487106,0.384,"2","EH-domain containing 4"
"F8a",0.15401076918507,0.3896,"X","factor 8-associated gene A"
"Lhfp",-0.153960285155928,0.2384,"3","lipoma HMGIC fusion partner"
"Pdss2",0.153943290684013,0.1592,"10","prenyl (solanesyl) diphosphate synthase, subunit 2"
"1110017D15Rik",-0.153923708502243,0.5724,"4","RIKEN cDNA 1110017D15 gene"
"Fam174b",-0.153893507021749,0.1464,"7","family with sequence similarity 174, member B"
"Aspdh",-0.153890629716398,0.4916,"7","aspartate dehydrogenase domain containing"
"Tbkbp1",0.153839358557593,0.2988,"11","TBK1 binding protein 1"
"Tgfbr1",-0.153781408890036,0.4852,"4","transforming growth factor, beta receptor I"
"C1qa",-0.153665663885456,0.55,"4","complement component 1, q subcomponent, alpha polypeptide"
"Ginm1",0.153630325904583,0.2176,"10","glycoprotein integral membrane 1"
"Mre11a",0.153595393693374,0.1668,"9","MRE11A homolog A, double strand break repair nuclease"
"Ubb",0.153543271536121,0.3404,"11","ubiquitin B"
"Zfr2",0.153530844836757,0.4232,"10","zinc finger RNA binding protein 2"
"Pcmtd2",0.153497991486799,0.2124,"2","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2"
"Ddit3",0.15346979990182,0.2928,"10","DNA-damage inducible transcript 3"
"Il18",0.153448431304663,0.1156,"9","interleukin 18"
"Nnt",-0.153378268471425,0.2516,"13","nicotinamide nucleotide transhydrogenase"
"Zfp946",0.153370757615558,0.276,"17","zinc finger protein 946"
"Flot1",0.153360594318398,0.1864,"17","flotillin 1"
"Zfp653",0.153321112872967,0.4252,"9","zinc finger protein 653"
"Psenen",0.153305822440252,0.4648,"7","presenilin enhancer gamma secretase subunit"
"U2surp",0.153271333202396,0.2152,"9","U2 snRNP-associated SURP domain containing"
"Eya1",0.153261820361257,0.042,"1","EYA transcriptional coactivator and phosphatase 1"
"Fam83d",-0.15323993918492,0.6124,"2","family with sequence similarity 83, member D"
"D130043K22Rik",-0.153210305793341,0.4324,"13","RIKEN cDNA D130043K22 gene"
"Mageh1",0.153133516497985,0.1,"X","MAGE family member H1"
"Meg3",0.153107583117814,0.7744,"12","maternally expressed 3"
"Tlcd5",0.153070165727931,0.3408,"9","TLC domain containing 5"
"Klf12",-0.153038211855396,0.5232,"14","Kruppel-like factor 12"
"Amy1",0.153006719777563,0.5384,"3","amylase 1, salivary"
"Thap3",0.152910361073203,0.3996,"4","THAP domain containing, apoptosis associated protein 3"
"Aldh16a1",0.152895528516447,0.48,"7","aldehyde dehydrogenase 16 family, member A1"
"Nol12",0.152891610928238,0.384,"15","nucleolar protein 12"
"Arhgef1",0.152881298696975,0.5816,"7","Rho guanine nucleotide exchange factor (GEF) 1"
"Fancm",0.152860716596901,0.462,"12","Fanconi anemia, complementation group M"
"Vmn2r29",0.152859704850756,0.2652,"7","vomeronasal 2, receptor 29"
"Zfp948",0.152798426994904,0.3864,"17","zinc finger protein 948"
"Abca8b",0.152727653874173,0.5228,"11","ATP-binding cassette, sub-family A (ABC1), member 8b"
"Recql4",0.152651777766989,0.7308,"15","RecQ protein-like 4"
"Naprt",0.152602977685655,0.2576,"15","nicotinate phosphoribosyltransferase"
"Slc30a5",0.152562800566848,0.0984,"13","solute carrier family 30 (zinc transporter), member 5"
"Gstm5",0.152507173714679,0.3544,"3","glutathione S-transferase, mu 5"
"Kif20a",0.152468141367106,0.2708,"18","kinesin family member 20A"
"Prxl2a",0.152458227047752,0.2256,"14","peroxiredoxin like 2A"
"Ntng1",0.152354526129617,0.1576,"3","netrin G1"
"Nbdy",0.15232916780593,0.3064,"X","negative regulator of P-body association"
"Akap6",-0.152322963846427,0.3268,"12","A kinase (PRKA) anchor protein 6"
"Prkcq",-0.15230986194039,0.6316,"2","protein kinase C, theta"
"Fcgr3",-0.152297091501399,0.6828,"1","Fc receptor, IgG, low affinity III"
"S100a16",0.152249377008789,0.332,"3","S100 calcium binding protein A16"
"Uros",0.152211131011903,0.3524,"7","uroporphyrinogen III synthase"
"Gpsm1",0.152201157416645,0.26,"2","G-protein signalling modulator 1 (AGS3-like, C. elegans)"
"Pwwp2b",-0.152139204497908,0.3356,"7","PWWP domain containing 2B"
"Pde4d",-0.152136487944104,0.2704,"13","phosphodiesterase 4D, cAMP specific"
"Bche",-0.152107916591571,0.6232,"3","butyrylcholinesterase"
"Disp1",-0.152092699433148,0.5404,"1","dispatched RND transporter family member 1"
"Foxred1",0.152089270346189,0.2512,"9","FAD-dependent oxidoreductase domain containing 1"
"Zdhhc4",0.15198629875947,0.1104,"5","zinc finger, DHHC domain containing 4"
"Simc1",0.15196245787748,0.3344,"13","SUMO-interacting motifs containing 1"
"Zfp207",0.15195978883307,0.3688,"11","zinc finger protein 207"
"Nhlrc2",-0.151928686965566,0.6532,"19","NHL repeat containing 2"
"Hyal1",-0.151918475146343,0.516,"9","hyaluronoglucosaminidase 1"
"Carmil3",0.1517550771214,0.5884,"14","capping protein regulator and myosin 1 linker 3"
"Tdrp",-0.151729499746657,0.1924,"8","testis development related protein"
"Mtcl1",0.151709402492755,0.5108,"17","microtubule crosslinking factor 1"
"Wnt7a",0.151603551302268,0.514,"6","wingless-type MMTV integration site family, member 7A"
"Mrps9",0.151595570860212,0.0708,"1","mitochondrial ribosomal protein S9"
"Dusp14",0.151481637357309,0.2732,"11","dual specificity phosphatase 14"
"Oxld1",0.151478588107693,0.4328,"11","oxidoreductase like domain containing 1"
"Rita1",0.151444994782306,0.2184,"5","RBPJ interacting and tubulin associated 1"
"Kif9",0.151442632445544,0.6184,"9","kinesin family member 9"
"Gatb",0.151402214091708,0.198,"3","glutamyl-tRNA(Gln) amidotransferase, subunit B"
"Slco1c1",-0.15140128191531,0.406,"6","solute carrier organic anion transporter family, member 1c1"
"Zc3h12b",-0.15131842659525,0.5496,"X","zinc finger CCCH-type containing 12B"
"Fyco1",0.151212323441587,0.6244,"9","FYVE and coiled-coil domain containing 1"
"Apeh",0.151193787602837,0.108,"9","acylpeptide hydrolase"
"Hebp1",0.151192486354613,0.274,"6","heme binding protein 1"
"Ptges3",0.15108616966989,0.2124,"10","prostaglandin E synthase 3"
"Rgs11",0.151044285164102,0.6028,"17","regulator of G-protein signaling 11"
"Dnajc17",0.151042020999483,0.2588,"2","DnaJ heat shock protein family (Hsp40) member C17"
"Tmem216",0.15100670719906,0.482,"19","transmembrane protein 216"
"Jade2",-0.150933901807392,0.0596,"11","jade family PHD finger 2"
"Kcnj2",-0.150929242794351,0.166,"11","potassium inwardly-rectifying channel, subfamily J, member 2"
"Slc6a13",-0.150849697653654,0.6828,"6","solute carrier family 6 (neurotransmitter transporter, GABA), member 13"
"Git1",0.150837432463245,0.414,"11","GIT ArfGAP 1"
"H2-T24",-0.150835777855634,0.7456,"17","histocompatibility 2, T region locus 24"
"Mfsd2a",0.150823795373455,0.2652,"4","major facilitator superfamily domain containing 2A"
"Stat6",-0.150795744858215,0.5036,"10","signal transducer and activator of transcription 6"
"Ston1",-0.150793012996775,0.4508,"17","stonin 1"
"Creb3l1",-0.150789228241362,0.4668,"2","cAMP responsive element binding protein 3-like 1"
"Ostf1",-0.150777662955971,0.346,"19","osteoclast stimulating factor 1"
"Lzts2",-0.150744271588175,0.578,"19","leucine zipper, putative tumor suppressor 2"
"Ell2",-0.150724308483218,0.1636,"13","elongation factor for RNA polymerase II 2"
"Car11",0.150704699355257,0.4808,"7","carbonic anhydrase 11"
"Bub1b",0.15065880765191,0.7972,"2","BUB1B, mitotic checkpoint serine/threonine kinase"
"Lsm3",0.150658157212899,0.3436,"6","LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated"
"Fam185a",-0.150644701754072,0.0676,"5","family with sequence similarity 185, member A"
"Cflar",-0.150643235941303,0.2564,"1","CASP8 and FADD-like apoptosis regulator"
