"symbol","logFC","P.Value","chr","description"
"Nphp3",-0.298887189151416,0.2556,"9","nephronophthisis 3 (adolescent)"
"Gtpbp6",-0.298854602577407,0.1276,"5","GTP binding protein 6 (putative)"
"Flrt2",0.298673223143799,0.2636,"12","fibronectin leucine rich transmembrane protein 2"
"Acsl4",0.298219561210264,0.06,"X","acyl-CoA synthetase long-chain family member 4"
"Setd7",0.298167010115936,0.0892,"3","SET domain containing (lysine methyltransferase) 7"
"2810049E08Rik",-0.298057822076837,0.012,"13","RIKEN cDNA 2810049E08 gene"
"Fam98c",-0.297938436763691,0.0464,"7","family with sequence similarity 98, member C"
"Ndufv3",-0.297913219093487,0.2672,"17","NADH:ubiquinone oxidoreductase core subunit V3"
"Blnk",0.297898223689169,0.2848,"19","B cell linker"
"Slit2",0.297839521778731,0.2952,"5","slit guidance ligand 2"
"Hectd2",0.297804444076719,0.5396,"19","HECT domain E3 ubiquitin protein ligase 2"
"Eef2kmt",-0.297762291341902,0.2648,"16","eukaryotic elongation factor 2 lysine methyltransferase"
"Chn1os3",-0.297652459654274,0.5872,"2","chimerin 1, opposite strand 3"
"Tet3",0.297592264533302,0.2748,"6","tet methylcytosine dioxygenase 3"
"Etfb",-0.297433537710527,0.3384,"7","electron transferring flavoprotein, beta polypeptide"
"Thpo",-0.297323167598126,0.4032,"16","thrombopoietin"
"Gatad2b",0.297270051755167,0.2644,"3","GATA zinc finger domain containing 2B"
"Slc22a8",-0.297181561201048,0.296,"19","solute carrier family 22 (organic anion transporter), member 8"
"Rnf150",0.296912467259808,0.2412,"8","ring finger protein 150"
"Atad2",0.296766980137488,0.186,"15","ATPase family, AAA domain containing 2"
"Mus81",-0.296766058886248,0.0084,"19","MUS81 structure-specific endonuclease subunit"
"Disp1",-0.296630321514292,0.0904,"1","dispatched RND transporter family member 1"
"Rab39b",0.296452312400244,0.2052,"X","RAB39B, member RAS oncogene family"
"Npm3",-0.296430457338791,0.2832,"19","nucleoplasmin 3"
"Zfp322a",0.296355092548347,0.0768,"13","zinc finger protein 322A"
"Ppp1r32",-0.296308351787817,0.33,"19","protein phosphatase 1, regulatory subunit 32"
"Kif9",-0.29624773840712,0.3192,"9","kinesin family member 9"
"Reps2",0.296211882313274,0.2812,"X","RALBP1 associated Eps domain containing protein 2"
"Etnppl",0.296090612813851,0.4124,"3","ethanolamine phosphate phospholyase"
"Prlr",-0.295954886861695,0.6504,"15","prolactin receptor"
"Olfm3",0.295810906550979,0.2852,"3","olfactomedin 3"
"Secisbp2l",0.295516931532851,0.0288,"2","SECIS binding protein 2-like"
"Tmem178b",0.295469694940607,0.1776,"6","transmembrane protein 178B"
"Ltbp4",-0.295295009469766,0.2324,"7","latent transforming growth factor beta binding protein 4"
"Csf2ra",-0.295153942603628,0.1908,"19","colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)"
"Rpl32",-0.295131533948724,0.2904,"6","ribosomal protein L32"
"Rps9",-0.295039974984599,0.2496,"7","ribosomal protein S9"
"1110038B12Rik",-0.295022017921004,0.1924,"17","RIKEN cDNA 1110038B12 gene"
"Sgk3",0.295003459187392,0.2584,"1","serum/glucocorticoid regulated kinase 3"
"Slc24a4",0.294947898117071,0.4668,"12","solute carrier family 24 (sodium/potassium/calcium exchanger), member 4"
"Tmem256",-0.294941803321455,0.2964,"11","transmembrane protein 256"
"Lin9",0.294469747454892,0.0252,"1","lin-9 DREAM MuvB core complex component"
"Dtymk",-0.294380795595497,0.0332,"1","deoxythymidylate kinase"
"Ndufa5",-0.294369699696909,0.2768,"6","NADH:ubiquinone oxidoreductase subunit A5"
"Nt5dc3",0.294301752371442,0.1336,"10","5'-nucleotidase domain containing 3"
"Cdkl1",-0.294257284194278,0.1948,"12","cyclin-dependent kinase-like 1 (CDC2-related kinase)"
"Zfp281",0.294122838888154,0.0508,"1","zinc finger protein 281"
"Glis3",0.293971773695622,0.3504,"19","GLIS family zinc finger 3"
"Syt14",0.293872222847792,0.3024,"1","synaptotagmin XIV"
"Cdk12",0.293786437479076,0.2964,"11","cyclin-dependent kinase 12"
"Tmem132e",-0.293759972615725,0.108,"11","transmembrane protein 132E"
"Htra1",0.293587080445258,0.0724,"7","HtrA serine peptidase 1"
"Fkbp5",0.293544898500094,0.0424,"17","FK506 binding protein 5"
"Lrp1b",0.293354211665562,0.5652,"2","low density lipoprotein-related protein 1B"
"Sirt7",-0.293159155836759,0.0344,"11","sirtuin 7"
"Uqcrh",-0.292873138509595,0.2192,"4","ubiquinol-cytochrome c reductase hinge protein"
"Glyctk",-0.292787704186279,0.116,"9","glycerate kinase"
"Rps5",-0.292764744107741,0.4016,"7","ribosomal protein S5"
"Cd109",0.292662208950935,0.3704,"9","CD109 antigen"
"Mmut",0.292587274911366,0.0416,"17","methylmalonyl-Coenzyme A mutase"
"Aoc2",-0.292456037255159,0.4628,"11","amine oxidase, copper containing 2 (retina-specific)"
"Phlda1",0.292386266792991,0,"10","pleckstrin homology like domain, family A, member 1"
"Pard3b",0.2922506821802,0.0616,"1","par-3 family cell polarity regulator beta"
"Psmb10",-0.292190775887547,0.264,"8","proteasome (prosome, macropain) subunit, beta type 10"
"Abi3",0.292148078258185,0.3156,"11","ABI family member 3"
"Tma7",-0.292028118989806,0.2624,"9","translational machinery associated 7"
"Tma7",-0.292028118989806,0.2624,"9","translational machinery associated 7"
"B9d1",-0.29174799296809,0.1136,"11","B9 protein domain 1"
"D630023F18Rik",-0.29171109562505,0.3276,"1","RIKEN cDNA D630023F18 gene"
"Ppp4r2",0.291477873103516,0.2436,"6","protein phosphatase 4, regulatory subunit 2"
"Pmepa1",0.291266386497073,0.0564,"2","prostate transmembrane protein, androgen induced 1"
"Neto2",0.29125453164768,0.0812,"8","neuropilin (NRP) and tolloid (TLL)-like 2"
"Dennd6b",-0.291245771116398,0.1864,"15","DENN/MADD domain containing 6B"
"Isoc2a",-0.291230610991592,0.1836,"7","isochorismatase domain containing 2a"
"Nsun3",0.291162948050224,0.3244,"16","NOL1/NOP2/Sun domain family member 3"
"Als2",0.291069595597294,0.2428,"1","alsin Rho guanine nucleotide exchange factor"
"Tmem147",-0.291023018954434,0.0812,"7","transmembrane protein 147"
"Dmp1",0.290937816604568,0.1492,"5","dentin matrix protein 1"
"Nsun7",-0.290690204887192,0.416,"5","NOL1/NOP2/Sun domain family, member 7"
"Ppm1m",-0.290666689405854,0.0276,"9","protein phosphatase 1M"
"Capn10",-0.290580672870099,0.1092,"1","calpain 10"
"Tefm",-0.290579817781841,0.178,"11","transcription elongation factor, mitochondrial"
"Grik1",0.290522575927516,0.1736,"16","glutamate receptor, ionotropic, kainate 1"
"Gopc",0.290484345024003,0.1468,"10","golgi associated PDZ and coiled-coil motif containing"
"Ermard",-0.290481376003422,0.2704,"17","ER membrane associated RNA degradation"
"Pdpn",-0.290423149374602,0.1744,"4","podoplanin"
"Ubr3",0.290362488151282,0.272,"2","ubiquitin protein ligase E3 component n-recognin 3"
"Acot13",-0.290276819870767,0.2928,"13","acyl-CoA thioesterase 13"
"Lrrc51",-0.290201659423849,0.3124,"7","leucine rich repeat containing 51"
"Elmo3",-0.290164345309606,0.248,"8","engulfment and cell motility 3"
"Xrcc3",-0.290086878763339,0.3072,"12","X-ray repair complementing defective repair in Chinese hamster cells 3"
"Efcc1",-0.290077671478448,0.0424,"6","EF hand and coiled-coil domain containing 1"
"Mmachc",0.289551683019901,0.0816,"4","methylmalonic aciduria cblC type, with homocystinuria"
"Sgk1",-0.289500906894873,0.5304,"10","serum/glucocorticoid regulated kinase 1"
"Shisa6",0.289324107763645,0.134,"11","shisa family member 6"
"Ddit3",-0.28914699705149,0.388,"10","DNA-damage inducible transcript 3"
"1700047M11Rik",-0.289031803306732,0.386,"1","RIKEN cDNA 1700047M11 gene"
"Zbtb41",0.288981858589705,0.078,"1","zinc finger and BTB domain containing 41"
"Sall1",0.288980530138867,0.17,"8","spalt like transcription factor 1"
"Arhgef6",0.288961920686485,0.1556,"X","Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6"
"Nr2f2",0.288932542705351,0.2264,"7","nuclear receptor subfamily 2, group F, member 2"
"Card10",-0.288867332786349,0,"15","caspase recruitment domain family, member 10"
"Nudt17",-0.288638065230419,0.1424,"3","nudix (nucleoside diphosphate linked moiety X)-type motif 17"
"Resp18",-0.288509280499059,0.2688,"1","regulated endocrine-specific protein 18"
"Akap5",0.288372604366742,0.2144,"12","A kinase (PRKA) anchor protein 5"
"Sord",-0.288286198623232,0.0984,"2","sorbitol dehydrogenase"
"Cox7c",-0.288255361786994,0.2724,"13","cytochrome c oxidase subunit 7C"
"Acaa2",-0.288249781611304,0.2128,"18","acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)"
"Frrs1l",0.288234910752618,0.456,"4","ferric-chelate reductase 1 like"
"Gstm2",-0.288201535162131,0.6664,"3","glutathione S-transferase, mu 2"
"Snx18",0.288201317036576,0.0444,"13","sorting nexin 18"
"Tfap4",0.288120460557477,0.0824,"16","transcription factor AP4"
"Stox2",0.288076404173527,0.0552,"8","storkhead box 2"
"Zdhhc1",-0.288053808832359,0.0252,"8","zinc finger, DHHC domain containing 1"
"Zfp719",0.288015801537658,0,"7","zinc finger protein 719"
"Ydjc",-0.28799852487653,0.0848,"16","YdjC homolog (bacterial)"
"Hexdc",-0.287946244261414,0.2204,"11","hexosaminidase (glycosyl hydrolase family 20, catalytic domain) containing"
"Trib2",0.287928018865035,0,"12","tribbles pseudokinase 2"
"Kctd12",0.287696649584398,0.0928,"14","potassium channel tetramerisation domain containing 12"
"Pfdn6",-0.28766523517583,0.3228,"17","prefoldin subunit 6"
"Rnf8",-0.287351922246422,0.3804,"17","ring finger protein 8"
"Zfp78",-0.287208021153707,0.268,"7","zinc finger protein 78"
"Ppm1e",0.287206149407023,0.1572,"11","protein phosphatase 1E (PP2C domain containing)"
"Pet100",-0.287195034445765,0.2392,"8","PET100 homolog"
"Ccdc62",-0.287017454087585,0.1248,"5","coiled-coil domain containing 62"
"Cdh19",0.286915545551992,0.3076,"1","cadherin 19, type 2"
"Oaz3",-0.286867808594491,0.2048,"3","ornithine decarboxylase antizyme 3"
"Rtl8b",-0.286835358926461,0.3332,"X","retrotransposon Gag like 8B"
"Adamts2",-0.286805520059359,0.1424,"11","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 2"
"Med13",0.286112037982348,0.0904,"11","mediator complex subunit 13"
"Psph",-0.286096243888778,0.276,"5","phosphoserine phosphatase"
"Ndst4",0.286084427873943,0.556,"3","N-deacetylase/N-sulfotransferase (heparin glucosaminyl) 4"
"Snhg17",-0.285806474548269,0.1848,"2","small nucleolar RNA host gene 17"
"Rnase4",0.2854554894344,0.418,"14","ribonuclease, RNase A family 4"
"Cldn22",-0.285414308914253,0.4148,"8","claudin 22"
"Npr1",-0.285328751392908,0.0696,"3","natriuretic peptide receptor 1"
"Rapgef4",-0.285303450540557,0.4108,"2","Rap guanine nucleotide exchange factor (GEF) 4"
"Rin2",0.285289767731917,0.1372,"2","Ras and Rab interactor 2"
"Rin2",0.285289767731917,0.1372,"2","Ras and Rab interactor 2"
"Mgp",-0.285187495037066,0.4504,"6","matrix Gla protein"
"Supt3",-0.285118309510223,0.306,"17","SPT3, SAGA and STAGA complex component"
"Kif5a",-0.285032723756723,0.416,"10","kinesin family member 5A"
"Adam9",0.285023926751735,0.1964,"8","a disintegrin and metallopeptidase domain 9 (meltrin gamma)"
"Arsk",0.284899866668949,0.0616,"13","arylsulfatase K"
"C1qa",0.284898784887392,0.6488,"4","complement component 1, q subcomponent, alpha polypeptide"
"Cox4i1",-0.284769345274766,0.3956,"8","cytochrome c oxidase subunit 4I1"
"Fam234a",-0.284477162661469,0.2484,"17","family with sequence similarity 234, member A"
"Sfxn4",-0.284397005987187,0.1108,"19","sideroflexin 4"
"Zfp771",-0.284245084853479,0.3304,"7","zinc finger protein 771"
"Eif3k",-0.284015191947675,0.2432,"7","eukaryotic translation initiation factor 3, subunit K"
"Cnksr2",0.2840014390452,0.1664,"X","connector enhancer of kinase suppressor of Ras 2"
"Mmp14",0.283908442296818,0.2968,"14","matrix metallopeptidase 14 (membrane-inserted)"
"Rps10",-0.283801920886547,0.2872,"17","ribosomal protein S10"
"Krt1",-0.283562099154473,0.3236,"15","keratin 1"
"Rpl23a",-0.283521266668137,0.3324,"11","ribosomal protein L23A"
"Rpl23a",-0.283521266668137,0.3324,"11","ribosomal protein L23A"
"Uqcc2",-0.283458845859824,0.3808,"17","ubiquinol-cytochrome c reductase complex assembly factor 2"
"Satb1",0.283277327267414,0.0088,"17","special AT-rich sequence binding protein 1"
"Slx4ip",0.283161415336081,0.1308,"2","SLX4 interacting protein"
"Decr1",-0.283140034249984,0.2748,"4","2,4-dienoyl CoA reductase 1, mitochondrial"
"Med6",-0.282902429601389,0.2132,"12","mediator complex subunit 6"
"Atp7a",0.282862554022597,0,"X","ATPase, Cu++ transporting, alpha polypeptide"
"Bola2",-0.282677558100106,0.4316,"7","bolA-like 2 (E. coli)"
"Cd59a",0.282516032061109,0.5504,"2","CD59a antigen"
"Fabp5",-0.282192210894194,0.2492,"3","fatty acid binding protein 5, epidermal"
"Mmgt2",-0.282092361756233,0.1832,"11","membrane magnesium transporter 2"
"Lats2",0.282090440354291,0.1896,"14","large tumor suppressor 2"
"Pacsin3",-0.282013926513976,0.1888,"2","protein kinase C and casein kinase substrate in neurons 3"
"Arhgap32",0.281931101345906,0.2204,"9","Rho GTPase activating protein 32"
"Smoc1",-0.281671416705973,0.094,"12","SPARC related  modular calcium binding 1"
"Dusp12",-0.281605703410907,0.0888,"1","dual specificity phosphatase 12"
"Col25a1",0.28152514056675,0.2496,"3","collagen, type XXV, alpha 1"
"Gar1",-0.28145222965794,0.0896,"3","GAR1 ribonucleoprotein"
"Cited2",0.281398817835219,0.1348,"10","Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2"
"Foxn3",0.281397077561177,0.2376,"12","forkhead box N3"
"Ncoa6",0.281380162400263,0.0408,"2","nuclear receptor coactivator 6"
"Tyw5",0.28135740831615,0.0108,"1","tRNA-yW synthesizing protein 5"
"Rasgrf2",0.281233404230297,0.118,"13","RAS protein-specific guanine nucleotide-releasing factor 2"
"Mfsd10",-0.281172295430416,0.1356,"5","major facilitator superfamily domain containing 10"
"Psme1",-0.280959041493751,0.2276,"14","proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)"
"Elavl4",0.280935217448903,0.0556,"4","ELAV like RNA binding protein 4"
"Psmg3",-0.2809324959146,0.2676,"5","proteasome (prosome, macropain) assembly chaperone 3"
"Zfp652",0.280902361262565,0.182,"11","zinc finger protein 652"
"Zdbf2",0.280900418690627,0.2436,"1","zinc finger, DBF-type containing 2"
"Izumo4",-0.280830442348512,0.0272,"10","IZUMO family member 4"
"Megf9",0.280819490765968,0.6412,"4","multiple EGF-like-domains 9"
"Pabpn1",-0.280808385941783,0.1816,"14","poly(A) binding protein, nuclear 1"
"Pabpn1",-0.280808385941783,0.1816,"14","poly(A) binding protein, nuclear 1"
"Letm2",-0.280758043624935,0.0392,"8","leucine zipper-EF-hand containing transmembrane protein 2"
"Snhg3",-0.28072507904812,0.2472,"4","small nucleolar RNA host gene 3"
"Ifi30",-0.280698718466689,0.2944,"8","interferon gamma inducible protein 30"
"Polr2a",0.280637490148313,0.0908,"11","polymerase (RNA) II (DNA directed) polypeptide A"
"Snrpn",0.2805983329594,0.3304,"7","small nuclear ribonucleoprotein N"
"Ttyh2",-0.280591944997719,0.414,"11","tweety family member 2"
"Cdh2",0.280585927768817,0.0376,"18","cadherin 2"
"Eif6",-0.280520846078054,0.2028,"2","eukaryotic translation initiation factor 6"
"Tmtc1",0.280433688292807,0.0424,"6","transmembrane and tetratricopeptide repeat containing 1"
"Pde1a",0.280368854910538,0.164,"2","phosphodiesterase 1A, calmodulin-dependent"
"Hddc3",-0.280356709277453,0.0644,"7","HD domain containing 3"
"Prorp",0.280261245436445,0.0552,"12","protein only RNase P catalytic subunit"
"Pgap2",-0.280241813370364,0.0532,"7","post-GPI attachment to proteins 2"
"Ptprj",0.280191502148345,0.1196,"2","protein tyrosine phosphatase, receptor type, J"
"Nalcn",0.280181090494921,0.3164,"14","sodium leak channel, non-selective"
"Lbp",-0.280176039398063,0.6956,"2","lipopolysaccharide binding protein"
"Dtnbp1",-0.28016919913703,0.2316,"13","dystrobrevin binding protein 1"
"Apoo",-0.279991181158009,0.17,"X","apolipoprotein O"
"Isoc2b",-0.279887644740681,0.1116,"7","isochorismatase domain containing 2b"
"Rbfox1",0.279878089664361,0.0172,"16","RNA binding protein, fox-1 homolog (C. elegans) 1"
"Rab13",-0.27951770787115,0.2396,"3","RAB13, member RAS oncogene family"
"Afap1l2",0.279427037810232,0.1976,"19","actin filament associated protein 1-like 2"
"Hipk2",0.279351153855644,0.4532,"6","homeodomain interacting protein kinase 2"
"Mpeg1",0.279344926475254,0.9024,"19","macrophage expressed gene 1"
"Lrp12",0.279162942072106,0.1132,"15","low density lipoprotein-related protein 12"
"Dock11",0.279094751865371,0.0924,"X","dedicator of cytokinesis 11"
"Dusp28",-0.278723218267007,0.2948,"1","dual specificity phosphatase 28"
"Frmpd4",0.278600885724719,0.3112,"X","FERM and PDZ domain containing 4"
"Map1b",0.2785501923242,0.0776,"13","microtubule-associated protein 1B"
"Anks6",-0.278266776935391,0.1076,"4","ankyrin repeat and sterile alpha motif domain containing 6"
"Uxt",-0.277936629226591,0.4756,"X","ubiquitously expressed prefoldin like chaperone"
"Eci1",-0.277887399134927,0.3644,"17","enoyl-Coenzyme A delta isomerase 1"
"Ntn4",0.277392901902174,0.4032,"10","netrin 4"
"Eif3m",-0.277225108737983,0.1008,"2","eukaryotic translation initiation factor 3, subunit M"
"Ndufs8",-0.277040686792056,0.292,"19","NADH:ubiquinone oxidoreductase core subunit S8"
"Glrx3",-0.277033442158686,0.336,"7","glutaredoxin 3"
"Rps16",-0.2770286639108,0.3272,"7","ribosomal protein S16"
"Tmem179b",-0.277027271422702,0.216,"19","transmembrane protein 179B"
"Dguok",-0.276994268651796,0.1192,"6","deoxyguanosine kinase"
"Evc",-0.276860518514546,0.0352,"5","EvC ciliary complex subunit 1"
"Mtm1",0.276547339127229,0.1728,"X","X-linked myotubular myopathy gene 1"
"Hspa4l",0.276527751090915,0.2712,"3","heat shock protein 4 like"
"Hcn1",0.276461906891473,0.2636,"13","hyperpolarization activated cyclic nucleotide gated potassium channel 1"
"Plscr4",-0.276438692419652,0.1076,"9","phospholipid scramblase 4"
"Mfap4",0.276399405388728,0.2756,"11","microfibrillar-associated protein 4"
"Timm8b",-0.276394591522113,0.25,"9","translocase of inner mitochondrial membrane 8B"
"Dmpk",-0.276369861845787,0.3784,"7","dystrophia myotonica-protein kinase"
"Ndufs7",-0.276353801595721,0.3892,"10","NADH:ubiquinone oxidoreductase core subunit S7"
"Pde5a",0.276326179610753,0.2188,"3","phosphodiesterase 5A, cGMP-specific"
"Tor2a",-0.276055839254338,0.232,"2","torsin family 2, member A"
"Stk19",-0.275986604146831,0.1916,"17","serine/threonine kinase 19"
"Fyb",0.275930755414171,0.7348,"15","FYN binding protein"
"Tet1",0.2758879701377,0.3884,"10","tet methylcytosine dioxygenase 1"
"Scn1a",0.275875648737856,0.114,"2","sodium channel, voltage-gated, type I, alpha"
"Fmnl3",-0.275832499168282,0.1276,"15","formin-like 3"
"Tusc1",-0.275823902712387,0.3448,"4","tumor suppressor candidate 1"
"Pgap1",0.275619549493017,0.166,"1","post-GPI attachment to proteins 1"
"Cfap74",-0.275472454939867,0.1276,"4","cilia and flagella associated protein 74"
"Abhd2",0.275453390626689,0.5984,"7","abhydrolase domain containing 2"
"Spin2c",0.275405385106007,0.2132,"X","spindlin family, member 2C"
"Ddx3x",0.275362384088305,0.3132,"X","DEAD box helicase 3, X-linked"
"Mrpl12",-0.275350743284151,0.3664,"11","mitochondrial ribosomal protein L12"
"Rex1bd",-0.275329856821707,0.3928,"8","required for excision 1-B domain containing"
"Ube2j2",0.275325923273109,0.1396,"4","ubiquitin-conjugating enzyme E2J 2"
"Fosl2",0.27531322807517,0.1516,"5","fos-like antigen 2"
"1810037I17Rik",-0.275242893566448,0.3492,"3","RIKEN cDNA 1810037I17 gene"
"Mrps21",-0.275228601032079,0.428,"3","mitochondrial ribosomal protein S21"
"Atp5j2",-0.275165755895552,0.3896,"5","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2"
"Gfpt1",0.274999409256781,0.0332,"6","glutamine fructose-6-phosphate transaminase 1"
"Tmem245",0.274963323093964,0.5156,"4","transmembrane protein 245"
"Atp6v0e",-0.274925424992114,0.1732,"17","ATPase, H+ transporting, lysosomal V0 subunit E"
"Wipf3",0.274904966202039,0.0264,"6","WAS/WASL interacting protein family, member 3"
"Ccdc186",0.274881521070702,0.1872,"19","coiled-coil domain containing 186"
"Klhl15",0.274788013030584,0.5116,"X","kelch-like 15"
"Zbtb20",0.274745584192166,0.5408,"16","zinc finger and BTB domain containing 20"
"Abca9",0.274742101275839,0.7824,"11","ATP-binding cassette, sub-family A (ABC1), member 9"
"Spock3",0.274648666339225,0.3016,"8","sparc/osteonectin, cwcv and kazal-like domains proteoglycan 3"
"A430005L14Rik",-0.274579002068474,0.3812,"4","RIKEN cDNA A430005L14 gene"
"Ylpm1",0.274393757563119,0.3076,"12","YLP motif containing 1"
"Tmem267",-0.274337550213304,0.4044,"13","transmembrane protein 267"
"Dgkh",0.27432958365109,0.3008,"14","diacylglycerol kinase, eta"
"Thbs4",0.274288515558315,0.36,"13","thrombospondin 4"
"Slc6a20a",0.274251293000889,0.7176,"9","solute carrier family 6 (neurotransmitter transporter), member 20A"
"Ccbe1",0.274214220191778,0.2244,"18","collagen and calcium binding EGF domains 1"
"Ctla2a",-0.274168456886728,0.2832,"13","cytotoxic T lymphocyte-associated protein 2 alpha"
"Lenep",-0.274137770240428,0.2364,"3","lens epithelial protein"
"Mical1",-0.274061233406248,0.1748,"10","microtubule associated monooxygenase, calponin and LIM domain containing 1"
"Ttc37",0.274058987130144,0.5052,"13","tetratricopeptide repeat domain 37"
"Ky",0.274027057499731,0.2376,"9","kyphoscoliosis peptidase"
"Vim",-0.273894914573996,0.2712,"2","vimentin"
"Kbtbd3",-0.27377876656322,0.088,"9","kelch repeat and BTB (POZ) domain containing 3"
"Bsn",0.273589607996595,0.3392,"9","bassoon"
"Amer1",0.273482496686423,0.1632,"X","APC membrane recruitment 1"
"Kdm7a",0.27343902982053,0.2432,"6","lysine (K)-specific demethylase 7A"
"Nrp2",0.273271275271211,0.2148,"1","neuropilin 2"
"Acot2",-0.273264049780247,0.11,"12","acyl-CoA thioesterase 2"
"Mbd3",-0.273242339749449,0.348,"10","methyl-CpG binding domain protein 3"
"Mdga2",0.273081020294799,0.226,"12","MAM domain containing glycosylphosphatidylinositol anchor 2"
"Fam228a",-0.273051024648184,0.5264,"12","family with sequence similarity 228, member A"
"Mrps24",-0.272980622437216,0.3152,"11","mitochondrial ribosomal protein S24"
"Pfdn1",-0.272825963130639,0.2704,"18","prefoldin 1"
"Rhbdf1",-0.272811487687309,0.1628,"11","rhomboid 5 homolog 1"
"Tmem179",-0.272712737698544,0.1208,"12","transmembrane protein 179"
"H2aj",-0.272583982101602,0.2972,"6","H2J.A histone"
"Ltk",-0.272542115484478,0.4148,"2","leukocyte tyrosine kinase"
"Klf3",0.272502164296685,0.3248,"5","Kruppel-like factor 3 (basic)"
"Uqcr10",-0.272452069496653,0.3488,"11","ubiquinol-cytochrome c reductase, complex III subunit X"
"Id1",-0.272358581054144,0.486,"2","inhibitor of DNA binding 1, HLH protein"
"Ap2s1",-0.272293998721306,0.3284,"7","adaptor-related protein complex 2, sigma 1 subunit"
"Flt3l",-0.272238008788491,0.3072,"7","FMS-like tyrosine kinase 3 ligand"
"Psd",-0.272210545346017,0.4284,"19","pleckstrin and Sec7 domain containing"
"S100a10",-0.272210116404085,0.4496,"3","S100 calcium binding protein A10 (calpactin)"
"Creld2",-0.272170067039335,0.3656,"15","cysteine-rich with EGF-like domains 2"
"Pdlim7",-0.2721500050171,0.234,"13","PDZ and LIM domain 7"
"Zc3h3",-0.27203761320508,0.2612,"15","zinc finger CCCH type containing 3"
"Polr2k",-0.272025310481906,0.146,"15","polymerase (RNA) II (DNA directed) polypeptide K"
"Ndufb9",-0.272001348005357,0.3312,"15","NADH:ubiquinone oxidoreductase subunit B9"
"Arap2",0.271937892367871,0.1264,"5","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2"
"Arid2",0.271718918970598,0.044,"15","AT rich interactive domain 2 (ARID, RFX-like)"
"Dhx9",0.27171461798121,0.2968,"1","DEAH (Asp-Glu-Ala-His) box polypeptide 9"
"Zfp58",-0.271522959177227,0.3432,"13","zinc finger protein 58"
"Scd3",0.271513869087476,0.4244,"19","stearoyl-coenzyme A desaturase 3"
"Pcdhgb2",0.271360839561006,0.5212,"18","protocadherin gamma subfamily B, 2"
"Rps7",-0.271281034809851,0.3916,"12","ribosomal protein S7"
"Ddt",-0.271278851788888,0.308,"10","D-dopachrome tautomerase"
"Ppie",-0.271083809923737,0.118,"4","peptidylprolyl isomerase E (cyclophilin E)"
"Dapp1",-0.27102730279172,0.0508,"3","dual adaptor for phosphotyrosine and 3-phosphoinositides 1"
"Rasgrp4",-0.270918208665344,0.16,"7","RAS guanyl releasing protein 4"
"Haus6",0.270705053615131,0.0884,"4","HAUS augmin-like complex, subunit 6"
"Ercc1",-0.270672753903002,0.006,"7","excision repair cross-complementing rodent repair deficiency, complementation group 1"
"Rpl3",-0.270653351286969,0.3112,"15","ribosomal protein L3"
"Igsf21",-0.270320801185834,0.1072,"4","immunoglobulin superfamily, member 21"
"Rccd1",-0.270120094792157,0.3656,"7","RCC1 domain containing 1"
"Rps25",-0.270117487171716,0.3688,"9","ribosomal protein S25"
"Npff",-0.270101024327065,0.5508,"15","neuropeptide FF-amide peptide precursor"
"Ranbp17",-0.270056454449757,0.1752,"11","RAN binding protein 17"
"Pag1",0.269911927866516,0.1336,"3","phosphoprotein associated with glycosphingolipid microdomains 1"
"Gm15501",-0.269779112567283,0.516,"7","predicted pseudogene 15501"
"Pcdhga6",0.269709639469201,0.2144,"18","protocadherin gamma subfamily A, 6"
"Zfp14",-0.269613816459968,0.0876,"7","zinc finger protein 14"
"Slc25a47",-0.269590497391234,0.2056,"12","solute carrier family 25, member 47"
"Sox4",0.269479342120831,0.0776,"13","SRY (sex determining region Y)-box 4"
"Bin2",0.269454849211888,0.6768,"15","bridging integrator 2"
"Mif",-0.26926080060298,0.316,"10","macrophage migration inhibitory factor (glycosylation-inhibiting factor)"
"Btbd19",-0.269257193428501,0.1628,"4","BTB (POZ) domain containing 19"
"Rps12",-0.269252346119917,0.3612,"10","ribosomal protein S12"
"G0s2",-0.269230602140309,0.2408,"1","G0/G1 switch gene 2"
"Fuom",-0.269205724976266,0.2468,"7","fucose mutarotase"
"Nkain3",0.269172660058244,0.5736,"4","Na+/K+ transporting ATPase interacting 3"
"Lrch2",0.269146913942708,0.126,"X","leucine-rich repeats and calponin homology (CH) domain containing 2"
"Sertad4",0.26898942567315,0.0088,"1","SERTA domain containing 4"
"Pcolce",-0.268893090847119,0.6904,"5","procollagen C-endopeptidase enhancer protein"
"Ephx2",-0.268808422479652,0.1908,"14","epoxide hydrolase 2, cytoplasmic"
"Tmem229b",0.268682487298082,0,"12","transmembrane protein 229B"
"Elmo1",0.268665411665984,0.0632,"13","engulfment and cell motility 1"
"Fam20a",-0.268639582645312,0.2168,"11","FAM20A, golgi associated secretory pathway pseudokinase"
