"symbol","logFC","P.Value","chr","description"
"Tmem52",0.524597910843051,0.066,"4","transmembrane protein 52"
"Bst2",-0.522194501274828,0.3112,"8","bone marrow stromal cell antigen 2"
"C1qtnf12",-0.521430239291005,0.0144,"4","C1q and tumor necrosis factor related 12"
"Tmem265",-0.517239592232219,0.1528,"7","transmembrane protein 265"
"Kcnj13",0.516804839599249,0.8456,"1","potassium inwardly-rectifying channel, subfamily J, member 13"
"Syne4",-0.514989689490858,0.1988,"7","spectrin repeat containing, nuclear envelope family member 4"
"Lnpep",0.512296992424686,0.4592,"17","leucyl/cystinyl aminopeptidase"
"Fmo1",0.511868709122795,0.0808,"1","flavin containing monooxygenase 1"
"Ksr2",0.511734445913135,0.3664,"5","kinase suppressor of ras 2"
"Cbx2",0.510880641291952,0.182,"11","chromobox 2"
"Alkbh8",0.510679588675333,0.408,"9","alkB homolog 8, tRNA methyltransferase"
"Ccdc162",0.508496258936261,0.3348,"10","coiled-coil domain containing 162"
"Ppm1l",0.508472093084254,0.2828,"3","protein phosphatase 1 (formerly 2C)-like"
"Bok",-0.506644035713639,0.2152,"1","BCL2-related ovarian killer"
"Fgfbp3",-0.506176863900174,0.0184,"19","fibroblast growth factor binding protein 3"
"Crhr1",-0.503616959548523,0,"11","corticotropin releasing hormone receptor 1"
"Usp18",-0.501040532869226,0.3884,"6","ubiquitin specific peptidase 18"
"Mthfd2",-0.500753031744348,0.1096,"6","methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase"
"Rbm47",-0.499423491907461,0.5152,"5","RNA binding motif protein 47"
"Kcnh7",0.497778176488685,0.556,"2","potassium voltage-gated channel, subfamily H (eag-related), member 7"
"Ttc16",-0.496197552299653,0.128,"2","tetratricopeptide repeat domain 16"
"Itgam",0.492107863408126,0.67,"7","integrin alpha M"
"Snrpd2",-0.489652258283385,0.132,"7","small nuclear ribonucleoprotein D2"
"Bfsp2",-0.489319124120004,0.3964,"9","beaded filament structural protein 2, phakinin"
"Ptpn4",0.489142481030479,0.34,"1","protein tyrosine phosphatase, non-receptor type 4"
"Inhbb",-0.488396886658526,0.052,"1","inhibin beta-B"
"Mamdc4",-0.487478823128981,0.2208,"2","MAM domain containing 4"
"Tox",0.486700951282938,0.3404,"4","thymocyte selection-associated high mobility group box"
"Nfkbie",0.485109358041094,0.2548,"17","nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, epsilon"
"Apold1",-0.485046651412628,0.2696,"6","apolipoprotein L domain containing 1"
"Tmem114",-0.484740283607164,0.1908,"16","transmembrane protein 114"
